,Date,주택뉴스심리지수,오피스뉴스심리지수,리테일뉴스심리지수,물류뉴스심리지수
0,2019-01-01,0.55,0.0,1.0,0.333
1,2019-01-02,0.517,0.222,0.25,0.667
2,2019-01-03,0.704,0.889,0.5,0.5
3,2019-01-04,0.478,0.667,0.0,0.5
4,2019-01-05,0.778,0.0,0.0,0.5
5,2019-01-06,0.743,0.0,0.0,0.0
6,2019-01-07,0.719,0.6,0.2,0.286
7,2019-01-08,0.424,0.385,0.0,0.0
8,2019-01-09,0.625,0.455,0.0,0.5
9,2019-01-10,0.533,0.167,0.0,0.2
10,2019-01-11,0.569,0.8,0.2,0.4
11,2019-01-12,0.611,0.0,0.0,0.0
12,2019-01-13,0.565,0.25,0.0,0.25
13,2019-01-14,0.339,0.429,0.5,0.308
14,2019-01-15,0.681,0.625,0.0,0.4
15,2019-01-16,0.364,0.571,0.0,0.667
16,2019-01-17,0.562,0.333,0.5,0.333
17,2019-01-18,0.556,0.7,0.333,0.5
18,2019-01-19,0.5,0.333,0.5,0.0
19,2019-01-20,0.629,0.75,0.0,0.0
20,2019-01-21,0.556,0.571,0.333,0.429
21,2019-01-22,0.548,0.25,0.0,0.2
22,2019-01-23,0.565,0.5,0.0,0.0
23,2019-01-24,0.781,0.4,0.706,0.5
24,2019-01-25,0.716,0.556,0.667,1.0
25,2019-01-26,0.588,0.333,0.0,0.0
26,2019-01-27,0.75,0.714,0.0,0.0
27,2019-01-28,0.36,0.333,0.0,0.3
28,2019-01-29,0.396,0.4,0.5,0.6
29,2019-01-30,0.409,0.364,0.0,0.667
30,2019-01-31,0.301,0.1,0.0,0.4
31,2019-02-01,0.55,0.8,0.0,0.0
32,2019-02-02,0.467,0.0,0.0,0.0
33,2019-02-03,0.375,0.0,0.0,1.0
34,2019-02-04,0.438,0.0,0.0,0.0
35,2019-02-05,0.577,0.5,0.0,0.0
36,2019-02-06,0.465,0.2,0.0,0.333
37,2019-02-07,0.483,0.25,0.333,0.167
38,2019-02-08,0.51,0.636,0.286,0.0
39,2019-02-09,0.529,0.0,0.0,0.5
40,2019-02-10,0.324,0.5,0.0,1.0
41,2019-02-11,0.357,0.5,0.0,0.333
42,2019-02-12,0.523,0.588,0.444,0.5
43,2019-02-13,0.477,0.308,0.8,0.667
44,2019-02-14,0.548,0.7,0.333,0.7
45,2019-02-15,0.326,0.462,0.0,0.667
46,2019-02-16,0.529,1.0,0.0,1.0
47,2019-02-17,0.421,1.0,0.0,0.6
48,2019-02-18,0.45,0.083,0.5,0.1
49,2019-02-19,0.431,0.25,1.0,1.0
50,2019-02-20,0.449,0.25,1.0,0.75
51,2019-02-21,0.507,0.286,0.5,0.5
52,2019-02-22,0.511,0.4,0.0,0.0
53,2019-02-23,0.333,1.0,1.0,0.0
54,2019-02-24,0.615,0.25,0.0,1.0
55,2019-02-25,0.483,0.5,1.0,0.5
56,2019-02-26,0.311,0.231,0.0,0.429
57,2019-02-27,0.339,0.444,0.167,0.0
58,2019-02-28,0.472,0.556,0.5,0.5
59,2019-03-01,0.769,0.8,0.0,0.0
60,2019-03-02,0.444,1.0,0.0,0.5
61,2019-03-03,0.273,0.556,0.5,0.0
62,2019-03-04,0.206,0.3,0.667,0.25
63,2019-03-05,0.524,0.536,0.25,0.75
64,2019-03-06,0.394,0.625,0.0,0.0
65,2019-03-07,0.468,0.545,0.333,0.615
66,2019-03-08,0.5,0.5,0.0,0.375
67,2019-03-09,0.462,0.5,0.0,0.0
68,2019-03-10,0.5,0.625,0.0,0.5
69,2019-03-11,0.446,0.208,0.286,0.222
70,2019-03-12,0.521,0.333,0.429,0.444
71,2019-03-13,0.442,0.5,0.0,0.286
72,2019-03-14,0.681,0.714,0.182,0.75
73,2019-03-15,0.415,0.6,0.333,0.25
74,2019-03-16,0.333,0.5,0.0,0.0
75,2019-03-17,0.667,0.4,0.0,0.0
76,2019-03-18,0.595,0.667,0.0,0.25
77,2019-03-19,0.638,0.231,0.0,0.429
78,2019-03-20,0.357,0.444,0.5,0.4
79,2019-03-21,0.444,0.188,0.0,0.375
80,2019-03-22,0.457,0.417,0.5,0.5
81,2019-03-23,0.545,1.0,1.0,1.0
82,2019-03-24,0.237,0.429,0.5,1.0
83,2019-03-25,0.366,0.545,0.857,0.167
84,2019-03-26,0.468,0.5,0.5,0.333
85,2019-03-27,0.317,0.111,0.5,0.286
86,2019-03-28,0.244,0.263,1.0,0.154
87,2019-03-29,0.318,0.375,0.5,0.75
88,2019-03-30,0.341,0.0,0.0,1.0
89,2019-03-31,0.238,0.5,1.0,0.25
90,2019-04-01,0.5,0.471,0.333,0.4
91,2019-04-02,0.538,0.462,0.0,0.5
92,2019-04-03,0.558,0.556,1.0,0.5
93,2019-04-04,0.543,0.5,0.0,0.0
94,2019-04-05,0.37,0.417,0.2,0.8
95,2019-04-06,0.231,0.333,0.0,0.0
96,2019-04-07,0.5,0.0,0.5,0.0
97,2019-04-08,0.556,0.625,1.0,0.0
98,2019-04-09,0.44,0.5,0.0,0.286
99,2019-04-10,0.486,0.222,0.5,0.143
100,2019-04-11,0.559,1.0,0.333,0.5
101,2019-04-12,0.265,0.5,0.0,0.5
102,2019-04-13,0.636,0.5,0.0,0.0
103,2019-04-14,0.583,0.333,0.0,0.0
104,2019-04-15,0.64,0.5,0.0,0.75
105,2019-04-16,0.5,0.429,0.667,0.375
106,2019-04-17,0.688,0.833,0.0,0.5
107,2019-04-18,0.475,0.625,0.167,0.429
108,2019-04-19,0.444,0.714,0.5,0.667
109,2019-04-20,0.571,1.0,1.0,1.0
110,2019-04-21,0.364,0.0,0.0,0.0
111,2019-04-22,0.551,0.636,0.0,0.5
112,2019-04-23,0.714,0.167,0.0,0.0
113,2019-04-24,0.472,0.438,0.25,0.5
114,2019-04-25,0.556,0.545,0.0,0.2
115,2019-04-26,0.436,0.375,0.0,0.143
116,2019-04-27,0.5,1.0,0.0,0.0
117,2019-04-28,0.577,0.5,0.5,0.0
118,2019-04-29,0.604,0.333,0.0,0.0
119,2019-04-30,0.512,0.571,0.75,0.5
120,2019-05-01,0.731,0.333,1.0,0.5
121,2019-05-02,0.717,0.75,0.0,0.5
122,2019-05-03,0.433,0.5,0.0,0.5
123,2019-05-04,0.444,0.333,0.0,0.0
124,2019-05-05,0.286,0.5,0.0,0.0
125,2019-05-06,0.516,0.0,1.0,0.0
126,2019-05-07,0.614,0.125,0.5,0.25
127,2019-05-08,0.355,0.6,0.5,0.75
128,2019-05-09,0.64,0.25,0.1,0.5
129,2019-05-10,0.5,0.4,0.5,0.5
130,2019-05-11,0.545,0.0,0.0,0.0
131,2019-05-12,0.375,0.333,0.5,0.333
132,2019-05-13,0.457,0.375,0.0,0.562
133,2019-05-14,0.537,0.273,0.714,0.667
134,2019-05-15,0.525,0.267,0.333,0.6
135,2019-05-16,0.321,0.333,0.5,0.0
136,2019-05-17,0.545,0.5,0.0,0.5
137,2019-05-18,0.5,0.0,0.0,0.0
138,2019-05-19,0.455,0.0,0.0,1.0
139,2019-05-20,0.587,0.357,0.5,0.25
140,2019-05-21,0.458,0.1,0.4,0.118
141,2019-05-22,0.425,0.3,0.0,0.0
142,2019-05-23,0.275,0.444,0.0,0.333
143,2019-05-24,0.358,0.429,0.0,0.5
144,2019-05-25,0.455,1.0,0.0,0.0
145,2019-05-26,0.259,0.5,0.0,0.5
146,2019-05-27,0.373,0.267,0.667,0.3
147,2019-05-28,0.422,0.462,0.0,0.333
148,2019-05-29,0.307,0.25,0.333,0.222
149,2019-05-30,0.339,0.667,0.0,0.429
150,2019-05-31,0.409,0.526,0.25,0.333
151,2019-06-01,0.4,0.75,1.0,0.0
152,2019-06-02,0.333,0.667,0.0,0.0
153,2019-06-03,0.488,0.364,0.0,0.5
154,2019-06-04,0.571,0.375,0.0,0.667
