Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2020-12-23,"5,234","4,722","5,106","10,670,210"
2020-12-24,"5,194","4,988","5,125","2,303,133"
2020-12-28,"5,165","4,988","5,037","1,376,178"
2020-12-29,"5,027","4,958","4,997","764,891"
2020-12-30,"5,007","4,958","4,988","410,452"
2021-01-04,"5,194","4,988","5,165","2,181,305"
2021-01-05,"5,194","5,076","5,145","531,607"
2021-01-06,"5,165","5,086","5,145","396,896"
2021-01-07,"5,165","5,066","5,106","438,382"
2021-01-08,"5,155","5,047","5,096","432,076"
2021-01-11,"5,116","5,027","5,066","533,788"
2021-01-12,"5,145","5,007","5,145","724,948"
2021-01-13,"5,165","5,076","5,145","551,073"
2021-01-14,"5,194","5,086","5,125","607,070"
2021-01-15,"5,194","5,096","5,184","482,354"
2021-01-18,"5,214","5,135","5,194","656,862"
2021-01-19,"5,234","5,135","5,224","434,365"
2021-01-20,"5,243","5,175","5,214","343,497"
2021-01-21,"5,243","5,184","5,194","261,522"
2021-01-22,"5,224","5,165","5,204","210,888"
2021-01-25,"5,234","5,175","5,214","249,477"
2021-01-26,"5,322","5,204","5,312","506,936"
2021-01-27,"5,519","5,302","5,440","774,207"
2021-01-28,"5,548","5,332","5,489","461,135"
2021-01-29,"5,548","5,243","5,283","518,549"
2021-02-01,"5,430","5,263","5,420","336,637"
2021-02-02,"5,607","5,460","5,607","519,089"
2021-02-03,"5,735","5,548","5,568","350,995"
2021-02-04,"5,676","5,548","5,657","276,519"
2021-02-05,"5,725","5,666","5,725","353,823"
2021-02-08,"5,893","5,578","5,657","667,441"
2021-02-09,"5,775","5,657","5,755","257,114"
2021-02-10,"5,784","5,716","5,775","233,217"
2021-02-15,"6,207","5,853","5,942","1,985,542"
2021-02-16,"6,080","5,784","5,942","1,592,801"
2021-02-17,"6,099","5,863","5,903","1,397,466"
2021-02-18,"6,030","5,794","5,893","701,988"
2021-02-19,"5,903","5,617","5,814","599,716"
2021-02-22,"5,952","5,784","5,794","552,932"
2021-02-23,"5,873","5,686","5,706","350,972"
2021-02-24,"5,657","5,391","5,470","1,030,911"
2021-02-25,"5,647","5,460","5,627","380,707"
2021-02-26,"5,666","5,460","5,627","401,767"
2021-03-02,"5,804","5,706","5,735","313,853"
2021-03-03,"5,814","5,706","5,716","475,896"
2021-03-04,"5,853","5,617","5,745","516,635"
2021-03-05,"5,784","5,716","5,745","302,684"
2021-03-08,"5,863","5,716","5,784","670,834"
2021-03-09,"5,824","5,657","5,676","353,647"
2021-03-10,"5,745","5,676","5,735","135,146"
2021-03-11,"5,765","5,647","5,716","296,201"
2021-03-12,"5,863","5,706","5,745","816,218"
2021-03-15,"5,784","5,716","5,725","338,205"
2021-03-16,"5,765","5,676","5,725","316,833"
2021-03-17,"5,775","5,676","5,735","149,110"
2021-03-18,"5,735","5,696","5,735","218,787"
2021-03-19,"5,794","5,686","5,765","668,196"
2021-03-22,"5,853","5,735","5,784","214,089"
2021-03-23,"5,834","5,765","5,804","192,588"
2021-03-24,"5,903","5,775","5,873","354,162"
