Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2021-11-18,"5,540","5,370","5,370","16,661,326"
2021-11-19,"5,400","5,310","5,370","1,184,820"
2021-11-22,"5,380","5,320","5,360","918,621"
2021-11-23,"5,370","5,340","5,360","387,210"
2021-11-24,"5,410","5,340","5,400","621,314"
2021-11-25,"5,420","5,380","5,420","282,659"
2021-11-26,"5,420","5,350","5,380","613,559"
2021-11-29,"5,340","5,270","5,330","688,586"
2021-11-30,"5,340","5,170","5,200","987,285"
2021-12-01,"5,270","5,120","5,260","451,272"
2021-12-02,"5,290","5,200","5,280","275,142"
2021-12-03,"5,270","5,210","5,270","279,470"
2021-12-06,"5,250","5,190","5,240","273,036"
2021-12-07,"5,250","5,210","5,220","145,593"
2021-12-08,"5,270","5,200","5,220","210,837"
2021-12-09,"5,240","5,200","5,210","180,418"
2021-12-10,"5,220","5,180","5,200","215,767"
2021-12-13,"5,230","5,200","5,200","149,244"
2021-12-14,"5,230","5,190","5,230","190,552"
2021-12-15,"5,280","5,200","5,270","181,362"
2021-12-16,"5,270","5,220","5,250","144,883"
2021-12-17,"5,270","5,240","5,260","67,717"
2021-12-20,"5,230","5,170","5,200","1,076,925"
2021-12-21,"5,270","5,170","5,220","673,464"
2021-12-22,"5,250","5,200","5,220","139,044"
2021-12-23,"5,250","5,220","5,250","125,679"
2021-12-24,"5,250","5,220","5,230","116,401"
2021-12-27,"5,260","5,210","5,250","142,006"
2021-12-28,"5,270","5,230","5,250","298,005"
2021-12-29,"5,230","5,170","5,200","149,688"
2021-12-30,"5,210","5,180","5,190","192,123"
2022-01-03,"5,230","5,170","5,200","171,275"
2022-01-04,"5,210","5,190","5,190","149,892"
2022-01-05,"5,200","5,180","5,190","91,057"
2022-01-06,"5,200","5,160","5,170","122,976"
2022-01-07,"5,200","5,160","5,170","138,443"
2022-01-10,"5,180","5,150","5,150","176,472"
2022-01-11,"5,180","5,150","5,180","133,359"
2022-01-12,"5,190","5,140","5,180","178,708"
2022-01-13,"5,180","5,140","5,150","206,089"
