Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2019-12-05,"6,500","6,500","6,500","3,057,720"
2019-12-06,"6,600","6,200","6,300","10,934,926"
2019-12-09,"6,280","5,990","6,120","1,774,692"
2019-12-10,"6,170","6,050","6,100","522,713"
2019-12-11,"6,120","6,000","6,020","612,664"
2019-12-12,"6,070","5,920","5,970","513,808"
2019-12-13,"6,090","5,920","6,040","555,263"
2019-12-16,"6,190","6,000","6,130","430,734"
2019-12-17,"6,150","6,060","6,070","166,404"
2019-12-18,"6,140","6,040","6,040","180,036"
2019-12-19,"6,090","6,000","6,030","112,809"
2019-12-20,"6,080","5,980","6,030","269,811"
2019-12-23,"6,030","5,990","6,020","113,903"
2019-12-24,"6,040","5,990","5,990","140,758"
2019-12-26,"6,010","5,940","6,000","237,831"
2019-12-27,"6,180","5,940","6,140","603,664"
2019-12-30,"6,140","6,040","6,090","154,046"
2020-01-02,"6,130","6,030","6,100","117,535"
2020-01-03,"6,130","6,030","6,090","118,900"
2020-01-06,"6,000","5,890","5,920","370,579"
2020-01-07,"5,970","5,900","5,930","98,930"
2020-01-08,"5,950","5,870","5,900","195,925"
2020-01-09,"5,970","5,910","5,930","96,513"
2020-01-10,"5,970","5,880","5,880","117,765"
2020-01-13,"5,890","5,790","5,790","177,526"
2020-01-14,"5,830","5,650","5,710","277,697"
2020-01-15,"5,930","5,690","5,930","145,864"
2020-01-16,"5,950","5,870","5,880","64,404"
2020-01-17,"5,920","5,880","5,900","64,706"
2020-01-20,"5,900","5,820","5,900","45,574"
2020-01-21,"5,900","5,850","5,880","67,692"
2020-01-22,"5,900","5,790","5,870","48,738"
2020-01-23,"5,880","5,790","5,860","38,602"
2020-01-28,"5,830","5,720","5,750","95,238"
2020-01-29,"5,980","5,750","5,930","199,598"
2020-01-30,"5,920","5,840","5,860","51,874"
2020-01-31,"5,890","5,800","5,850","48,227"
2020-02-03,"5,890","5,740","5,880","93,892"
2020-02-04,"5,880","5,820","5,870","46,030"
2020-02-05,"5,880","5,810","5,860","38,284"
2020-02-06,"5,890","5,820","5,840","37,602"
2020-02-07,"5,860","5,790","5,850","32,020"
2020-02-10,"5,870","5,800","5,860","31,732"
2020-02-11,"5,890","5,860","5,870","47,175"
2020-02-12,"5,880","5,820","5,850","30,620"
2020-02-13,"5,860","5,810","5,850","30,428"
2020-02-14,"5,860","5,790","5,810","54,176"
2020-02-17,"5,840","5,770","5,800","50,212"
2020-02-18,"5,800","5,720","5,760","28,335"
2020-02-19,"5,770","5,710","5,730","30,558"
2020-02-20,"5,780","5,610","5,670","72,868"
2020-02-21,"5,700","5,620","5,660","47,120"
2020-02-24,"5,650","5,530","5,530","83,535"
2020-02-25,"5,660","5,510","5,580","50,387"
2020-02-26,"5,580","5,510","5,550","51,689"
2020-02-27,"5,640","5,500","5,530","48,026"
2020-02-28,"5,500","5,300","5,390","122,987"
2020-03-02,"5,600","5,100","5,380","114,074"
2020-03-03,"5,450","5,370","5,400","64,706"
2020-03-04,"5,630","5,360","5,600","83,091"
2020-03-05,"5,580","5,400","5,580","364,799"
2020-03-06,"5,530","5,460","5,530","60,097"
2020-03-09,"5,490","5,290","5,350","115,333"
2020-03-10,"5,340","5,210","5,320","56,573"
2020-03-11,"5,370","5,210","5,280","103,783"
2020-03-12,"5,250","5,060","5,080","312,232"
2020-03-13,"5,000","4,580","4,780","382,699"
2020-03-16,"5,030","4,780","4,915","172,359"
2020-03-17,"4,950","4,760","4,950","112,778"
