Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2021-09-14,"6,380","5,320","5,780","82,005,002"
2021-09-15,"6,010","5,580","5,790","10,380,863"
2021-09-16,"5,870","5,710","5,740","3,076,596"
2021-09-17,"5,790","5,570","5,770","3,200,578"
2021-09-23,"5,740","5,620","5,700","1,473,333"
2021-09-24,"5,750","5,660","5,740","1,229,126"
2021-09-27,"6,000","5,670","5,950","3,495,081"
2021-09-28,"6,040","5,870","5,980","1,952,206"
2021-09-29,"6,020","5,840","6,000","1,331,439"
2021-09-30,"6,030","5,960","5,980","768,613"
2021-10-01,"6,030","5,900","6,030","1,141,872"
2021-10-05,"6,080","5,920","6,050","1,231,460"
2021-10-06,"6,100","5,980","6,010","846,289"
2021-10-07,"6,080","5,980","6,070","617,331"
2021-10-08,"6,160","6,010","6,130","863,593"
2021-10-12,"6,200","6,090","6,160","874,344"
2021-10-13,"6,330","6,120","6,230","968,247"
2021-10-14,"6,200","6,080","6,180","1,880,696"
2021-10-15,"6,290","6,150","6,280","612,147"
2021-10-18,"6,350","6,240","6,340","747,604"
2021-10-19,"6,560","6,340","6,550","1,488,795"
2021-10-20,"6,910","6,550","6,610","1,649,632"
2021-10-21,"6,680","6,450","6,520","933,950"
2021-10-22,"6,530","6,300","6,390","1,048,166"
2021-10-25,"6,480","6,250","6,420","647,052"
2021-10-26,"6,500","6,420","6,500","375,443"
2021-10-27,"6,540","6,390","6,470","448,871"
2021-10-28,"6,470","6,380","6,400","410,396"
2021-10-29,"6,450","6,330","6,410","367,295"
2021-11-01,"6,440","6,270","6,370","647,261"
2021-11-02,"6,370","6,290","6,290","493,288"
2021-11-03,"6,300","6,130","6,180","779,513"
2021-11-04,"6,200","6,060","6,110","528,871"
2021-11-05,"6,190","6,100","6,160","256,226"
2021-11-08,"6,220","6,080","6,210","287,309"
2021-11-09,"6,320","6,160","6,310","274,040"
2021-11-10,"6,320","6,220","6,320","268,490"
