Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2020-07-16,"5,030","4,375","4,410","7,430,198"
2020-07-17,"4,600","4,410","4,595","2,485,359"
2020-07-20,"4,580","4,460","4,475","728,720"
2020-07-21,"4,540","4,445","4,465","397,836"
2020-07-22,"4,490","4,440","4,465","381,141"
2020-07-23,"4,485","4,450","4,470","244,085"
2020-07-24,"4,485","4,450","4,475","189,712"
2020-07-27,"4,480","4,455","4,465","120,714"
2020-07-28,"4,500","4,435","4,455","326,197"
2020-07-29,"4,470","4,430","4,445","375,260"
2020-07-30,"4,500","4,445","4,460","174,592"
2020-07-31,"4,500","4,445","4,470","162,266"
2020-08-03,"4,480","4,440","4,460","196,409"
2020-08-04,"4,465","4,420","4,425","270,681"
2020-08-05,"4,455","4,385","4,390","358,780"
2020-08-06,"4,460","4,395","4,450","162,215"
2020-08-07,"4,455","4,425","4,435","108,557"
2020-08-10,"4,460","4,415","4,445","211,141"
2020-08-11,"4,520","4,445","4,515","208,767"
2020-08-12,"4,660","4,505","4,655","290,953"
2020-08-13,"4,730","4,655","4,705","167,236"
2020-08-14,"4,725","4,600","4,700","73,026"
2020-08-18,"4,720","4,560","4,560","188,233"
2020-08-19,"4,600","4,545","4,590","58,550"
2020-08-20,"4,620","4,500","4,530","131,416"
2020-08-21,"4,585","4,515","4,545","70,655"
2020-08-24,"4,600","4,540","4,575","81,047"
2020-08-25,"4,590","4,555","4,580","106,323"
2020-08-26,"4,610","4,575","4,605","103,183"
2020-08-27,"4,610","4,555","4,595","182,666"
2020-08-28,"4,570","4,520","4,545","147,220"
2020-08-31,"4,550","4,485","4,485","119,943"
2020-09-01,"4,495","4,440","4,450","117,037"
2020-09-02,"4,500","4,410","4,475","119,897"
2020-09-03,"4,490","4,455","4,475","68,502"
2020-09-04,"4,460","4,420","4,435","64,075"
2020-09-07,"4,505","4,425","4,450","64,988"
2020-09-08,"4,480","4,445","4,460","39,126"
2020-09-09,"4,455","4,425","4,450","59,472"
2020-09-10,"4,460","4,445","4,455","38,247"
2020-09-11,"4,475","4,450","4,470","52,956"
2020-09-14,"4,485","4,450","4,460","68,245"
2020-09-15,"4,475","4,445","4,450","53,902"
2020-09-16,"4,460","4,440","4,460","54,916"
2020-09-17,"4,485","4,445","4,470","44,564"
2020-09-18,"4,485","4,465","4,480","27,146"
2020-09-21,"4,510","4,425","4,465","24,652"
2020-09-22,"4,480","4,450","4,455","48,945"
2020-09-23,"4,475","4,445","4,470","49,323"
2020-09-24,"4,560","4,445","4,535","106,863"
2020-09-25,"4,540","4,500","4,505","71,045"
2020-09-28,"4,565","4,495","4,560","52,736"
2020-09-29,"4,585","4,550","4,570","36,686"
2020-10-05,"4,630","4,545","4,560","26,302"
2020-10-06,"4,590","4,550","4,580","40,143"
2020-10-07,"4,595","4,560","4,590","60,142"
2020-10-08,"4,725","4,590","4,725","260,239"
2020-10-12,"4,735","4,660","4,735","59,833"
2020-10-13,"4,745","4,660","4,695","86,513"
2020-10-14,"4,780","4,695","4,780","157,399"
2020-10-15,"4,810","4,765","4,805","160,938"
2020-10-16,"4,900","4,760","4,870","237,605"
2020-10-19,"4,970","4,855","4,960","407,622"
2020-10-20,"4,960","4,885","4,925","145,235"
2020-10-21,"4,980","4,925","4,960","141,370"
2020-10-22,"4,985","4,950","4,985","137,756"
2020-10-23,"5,010","4,970","5,010","237,463"
2020-10-26,"5,030","4,985","5,000","153,857"
2020-10-27,"5,010","4,975","4,985","281,916"
2020-10-28,"5,000","4,950","4,975","147,078"
2020-10-29,"4,975","4,905","4,940","120,482"
2020-10-30,"5,000","4,945","4,995","221,198"
2020-11-02,"5,000","4,955","4,980","97,667"
2020-11-03,"4,990","4,935","4,955","108,029"
2020-11-04,"4,965","4,940","4,955","162,019"
2020-11-05,"4,955","4,865","4,900","234,086"
2020-11-06,"4,925","4,865","4,905","89,381"
2020-11-09,"4,905","4,850","4,880","132,142"
2020-11-10,"4,910","4,855","4,910","91,502"
2020-11-11,"4,915","4,880","4,900","106,065"
2020-11-12,"4,905","4,880","4,905","84,217"
2020-11-13,"4,910","4,895","4,900","95,987"
2020-11-16,"4,900","4,875","4,895","90,037"
2020-11-17,"4,900","4,600","4,890","80,101"
2020-11-18,"4,915","4,845","4,910","108,226"
2020-11-19,"4,920","4,880","4,920","92,469"
2020-11-20,"4,950","4,900","4,915","125,243"
2020-11-23,"4,910","4,880","4,905","67,712"
2020-11-24,"4,910","4,870","4,895","70,650"
2020-11-25,"4,895","4,860","4,875","69,839"
2020-11-26,"4,880","4,860","4,880","67,073"
2020-11-27,"4,880","4,860","4,880","34,995"
2020-11-30,"4,880","4,845","4,860","80,515"
2020-12-01,"4,875","4,790","4,790","65,359"
2020-12-02,"4,810","4,775","4,785","67,775"
2020-12-03,"4,795","4,740","4,755","91,302"
2020-12-04,"4,800","4,745","4,770","75,167"
2020-12-07,"4,800","4,520","4,790","74,206"
2020-12-08,"4,800","4,760","4,780","11,069"
2020-12-09,"4,800","4,755","4,780","37,003"
2020-12-10,"4,785","4,730","4,740","67,361"
2020-12-11,"4,745","4,730","4,740","77,956"
2020-12-14,"4,765","4,710","4,740","97,027"
2020-12-15,"4,760","4,725","4,750","33,386"
2020-12-16,"4,755","4,720","4,740","102,047"
2020-12-17,"4,755","4,700","4,735","124,533"
2020-12-18,"4,785","4,725","4,725","288,603"
2020-12-21,"4,745","4,725","4,725","70,634"
2020-12-22,"4,740","4,710","4,720","66,685"
2020-12-23,"4,760","4,710","4,745","37,062"
2020-12-24,"4,765","4,740","4,755","30,775"
2020-12-28,"4,805","4,710","4,720","130,003"
2020-12-29,"4,770","4,700","4,755","94,290"
2020-12-30,"4,770","4,725","4,735","45,124"
2021-01-04,"4,750","4,450","4,750","140,517"
2021-01-05,"4,990","4,700","4,740","105,811"
2021-01-06,"4,785","4,725","4,735","63,630"
2021-01-07,"4,740","4,700","4,730","67,568"
2021-01-08,"4,800","4,700","4,710","115,001"
2021-01-11,"4,715","4,665","4,700","114,474"
2021-01-12,"4,720","4,660","4,680","75,000"
2021-01-13,"4,715","4,670","4,700","27,728"
2021-01-14,"4,710","4,695","4,710","59,249"
2021-01-15,"4,730","4,695","4,700","86,411"
2021-01-18,"4,715","4,690","4,715","49,798"
2021-01-19,"4,720","4,695","4,715","61,235"
2021-01-20,"4,735","4,695","4,725","98,770"
2021-01-21,"4,735","4,700","4,715","52,628"
2021-01-22,"4,735","4,705","4,710","76,853"
2021-01-25,"4,770","4,725","4,765","79,744"
2021-01-26,"4,810","4,780","4,795","89,424"
2021-01-27,"4,820","4,780","4,810","48,092"
2021-01-28,"4,845","4,795","4,810","98,508"
2021-01-29,"4,845","4,780","4,800","45,707"
2021-02-01,"4,840","4,760","4,815","39,722"
2021-02-02,"4,885","4,810","4,855","78,818"
2021-02-03,"4,870","4,830","4,865","73,425"
2021-02-04,"4,875","4,835","4,855","51,289"
2021-02-05,"4,920","4,845","4,890","184,688"
2021-02-08,"4,910","4,865","4,890","147,902"
2021-02-09,"4,900","4,865","4,890","77,236"
2021-02-10,"4,935","4,880","4,935","136,561"
2021-02-15,"4,940","4,910","4,920","109,718"
2021-02-16,"4,935","4,895","4,900","124,833"
2021-02-17,"4,920","4,840","4,885","138,142"
2021-02-18,"4,895","4,870","4,875","60,660"
2021-02-19,"4,900","4,865","4,880","57,212"
2021-02-22,"4,900","4,865","4,885","62,360"
2021-02-23,"4,885","4,860","4,865","77,720"
2021-02-24,"4,895","4,860","4,875","92,416"
2021-02-25,"4,790","4,750","4,770","128,803"
2021-02-26,"4,770","4,730","4,750","58,819"
2021-03-02,"4,785","4,750","4,760","57,122"
2021-03-03,"4,775","4,730","4,755","35,697"
2021-03-04,"4,760","4,710","4,750","51,616"
2021-03-05,"4,750","4,705","4,715","40,491"
2021-03-08,"4,750","4,700","4,700","42,123"
2021-03-09,"4,750","4,700","4,745","36,645"
2021-03-10,"4,770","4,730","4,740","21,881"
2021-03-11,"4,745","4,720","4,745","32,187"
2021-03-12,"4,755","4,730","4,755","17,626"
2021-03-15,"4,770","4,755","4,770","42,155"
2021-03-16,"4,795","4,765","4,780","26,618"
2021-03-17,"4,785","4,755","4,780","37,500"
2021-03-18,"4,790","4,770","4,785","19,747"
2021-03-19,"4,850","4,770","4,850","69,742"
2021-03-22,"4,875","4,820","4,870","30,703"
2021-03-23,"4,890","4,855","4,875","50,126"
2021-03-24,"4,875","4,830","4,855","9,536"
2021-03-25,"4,870","4,700","4,755","473,419"
