Item Name,고가지수(포인트),저가지수(포인트),종가지수(포인트),거래량(주),종목수 (상승),종목수 (하락),종가지수 (5일 평균)(포인트),종가지수 (20일 평균)(포인트),종가지수 (60일 평균)(포인트),수익률 (1개월)(%),수익률 (3개월)(%),수익률 (6개월)(%)
2018-01-02,"2,481.02","2,465.94","2,479.65","262,205,400",498,305,"2,450.34","2,468.32","2,493.29",0.17,3.56,3.67
2018-01-03,"2,493.40","2,481.91","2,486.35","331,094,600",401,409,"2,459.50","2,468.87","2,495.17",0.44,3.84,3.84
2018-01-04,"2,502.50","2,466.45","2,466.46","333,836,300",271,548,"2,467.32","2,467.11","2,496.37",-1.41,3.01,3.61
2018-01-05,"2,497.52","2,475.51","2,497.52","308,769,600",493,298,"2,479.49","2,466.48","2,497.44",-0.50,4.30,4.57
2018-01-08,"2,515.37","2,494.18","2,513.28","311,429,300",337,474,"2,488.65","2,468.42","2,498.35",2.00,4.96,5.61
2018-01-09,"2,524.73","2,498.41","2,510.23","374,322,700",382,431,"2,494.77","2,470.84","2,498.95",1.88,4.83,5.48
2018-01-10,"2,516.82","2,493.98","2,499.75","444,022,000",502,328,"2,497.45","2,472.62","2,499.38",1.45,2.71,4.94
2018-01-11,"2,502.52","2,483.82","2,487.91","444,340,100",380,424,"2,501.74","2,473.45","2,499.51",0.66,1.21,3.84
2018-01-12,"2,500.87","2,482.15","2,496.42","438,775,500",362,472,"2,501.52","2,475.22","2,499.71",1.44,0.88,4.38
2018-01-15,"2,513.30","2,496.18","2,503.73","404,550,800",382,441,"2,499.61","2,476.38","2,500.06",0.87,1.22,3.69
2018-01-16,"2,524.55","2,498.55","2,521.74","341,606,600",381,422,"2,501.91","2,478.99","2,500.87",1.60,1.68,4.44
2018-01-17,"2,521.97","2,506.49","2,515.43","336,712,500",340,481,"2,505.05","2,480.66","2,501.30",1.34,1.25,3.72
2018-01-18,"2,532.08","2,512.69","2,515.81","333,112,000",473,346,"2,510.63","2,482.35","2,501.73",1.37,1.33,3.70
2018-01-19,"2,524.33","2,513.09","2,520.26","351,845,000",547,282,"2,515.39","2,484.44","2,502.23",1.68,1.91,3.72
2018-01-22,"2,517.12","2,488.44","2,502.11","342,994,000",416,385,"2,515.07","2,485.93","2,502.39",2.52,0.50,2.12
2018-01-23,"2,536.60","2,507.96","2,536.60","370,007,800",592,215,"2,518.04","2,491.26","2,503.32",3.94,1.87,3.53
2018-01-24,"2,547.22","2,531.31","2,538.00","371,087,200",519,293,"2,522.56","2,496.14","2,504.01",3.99,1.91,3.53
2018-01-25,"2,564.43","2,536.73","2,562.23","514,605,000",611,211,"2,531.84","2,502.88","2,505.02",4.99,2.80,5.01
2018-01-26,"2,574.76","2,553.53","2,574.76","400,648,700",575,241,"2,542.74","2,509.79","2,505.87",6.07,3.79,5.76
2018-01-29,"2,607.10","2,587.55","2,598.19","437,474,700",550,272,"2,561.96","2,516.32","2,506.57",5.30,4.07,8.21
2018-01-30,"2,599.17","2,567.07","2,567.74","397,038,600",312,505,"2,568.18","2,520.73","2,506.92",4.06,2.63,6.95
2018-01-31,"2,597.14","2,553.01","2,566.46","403,051,300",333,489,"2,573.88","2,524.73","2,507.06",4.01,1.71,6.82
2018-02-01,"2,583.74","2,564.59","2,568.54","595,147,200",508,319,"2,575.14","2,529.84","2,507.38",4.10,0.47,6.01
2018-02-02,"2,565.99","2,519.60","2,525.39","481,817,700",220,609,"2,565.26","2,531.23","2,507.05",1.84,-0.82,4.03
2018-02-05,"2,503.99","2,476.24","2,491.75","442,349,800",116,734,"2,543.98","2,530.15","2,506.04",-0.23,-2.59,4.02
2018-02-06,"2,460.28","2,409.38","2,453.31","582,836,900",176,669,"2,521.09","2,527.31","2,504.42",-1.77,-3.77,2.42
2018-02-07,"2,484.18","2,396.56","2,396.56","460,075,000",193,638,"2,487.11","2,522.15","2,501.98",-4.04,-5.85,-0.09
2018-02-08,"2,423.88","2,393.46","2,407.62","362,415,700",584,239,"2,454.93","2,518.13","2,499.93",-4.20,-5.67,0.54
2018-02-09,"2,372.90","2,346.73","2,363.77","489,112,000",193,648,"2,422.60","2,511.50","2,497.22",-5.83,-7.32,-0.20
2018-02-12,"2,397.90","2,367.31","2,385.38","352,288,300",361,458,"2,401.33","2,505.58","2,495.00",-4.45,-6.20,2.83
2018-02-13,"2,421.80","2,388.54","2,395.19","423,415,700",261,575,"2,389.70","2,499.26","2,492.68",-4.06,-5.34,3.25
2018-02-14,"2,426.63","2,408.02","2,421.83","305,739,300",431,373,"2,394.76","2,494.58","2,490.81",-2.99,-4.15,3.75
2018-02-19,"2,455.12","2,428.15","2,442.82","322,137,400",645,181,"2,401.80","2,490.93","2,489.39",-3.07,-3.60,3.58
2018-02-20,"2,438.48","2,411.23","2,415.12","421,485,500",318,503,"2,412.07","2,485.67","2,487.47",-4.17,-4.45,2.41
2018-02-21,"2,432.45","2,404.02","2,429.65","432,275,400",513,293,"2,420.92","2,482.05","2,485.62",-3.60,-3.99,3.17
2018-02-22,"2,422.62","2,405.23","2,414.28","349,492,700",256,560,"2,424.74","2,475.93","2,483.57",-3.51,-4.97,2.07
2018-02-23,"2,451.52","2,427.13","2,451.52","300,578,300",534,285,"2,430.68","2,471.61","2,482.02",-3.35,-3.38,3.60
2018-02-26,"2,466.08","2,447.86","2,457.65","321,259,900",372,447,"2,433.64","2,466.38","2,481.19",-4.55,-3.41,3.33
2018-02-27,"2,480.79","2,456.14","2,456.14","271,231,700",295,520,"2,441.85","2,460.45","2,480.22",-4.61,-2.06,3.26
2018-02-28,"2,460.12","2,426.21","2,427.36","367,556,900",254,567,"2,441.39","2,451.90","2,478.79",-5.72,-3.45,2.41
2018-03-02,"2,410.34","2,387.25","2,402.16","320,397,200",242,582,"2,438.97","2,443.63","2,477.56",-4.88,-2.96,1.89
2018-03-05,"2,407.98","2,374.80","2,375.06","312,254,100",210,634,"2,423.67","2,434.06","2,475.89",-4.68,-5.38,2.08
2018-03-06,"2,413.01","2,392.87","2,411.41","400,110,600",522,294,"2,414.43","2,426.20","2,474.38",-1.71,-2.54,3.95
2018-03-07,"2,429.43","2,395.24","2,401.82","412,971,900",243,594,"2,403.56","2,420.02","2,472.58",0.22,-2.44,2.37
2018-03-08,"2,433.08","2,407.59","2,433.08","394,848,800",545,267,"2,404.71","2,417.09","2,471.89",1.06,-1.25,3.81
2018-03-09,"2,476.43","2,436.03","2,459.45","437,265,000",620,198,"2,416.16","2,417.39","2,471.85",4.05,-0.18,4.94
2018-03-12,"2,489.46","2,474.91","2,484.12","391,303,800",654,176,"2,437.98","2,421.77","2,472.18",4.14,0.94,5.02
2018-03-13,"2,494.49","2,478.76","2,494.49","350,203,300",317,492,"2,454.59","2,426.12","2,472.56",4.15,0.56,5.69
2018-03-14,"2,486.98","2,474.77","2,486.08","360,865,600",324,502,"2,471.44","2,432.23","2,472.98",2.65,0.67,4.56
2018-03-15,"2,496.51","2,471.04","2,492.38","344,009,500",408,407,"2,483.30","2,437.58","2,473.18",2.91,0.42,4.46
2018-03-16,"2,497.80","2,476.88","2,493.97","377,766,100",438,377,"2,490.21","2,442.52","2,473.59",2.98,0.48,4.52
2018-03-19,"2,493.56","2,470.91","2,475.03","477,219,200",275,534,"2,488.39","2,445.18","2,473.47",1.32,-0.14,2.44
2018-03-20,"2,485.52","2,456.80","2,485.52","291,495,600",406,398,"2,486.60","2,447.31","2,473.53",2.91,0.53,3.04
2018-03-21,"2,492.88","2,483.78","2,484.97","399,073,600",328,477,"2,486.37","2,450.81","2,473.64",2.28,2.27,3.26
2018-03-22,"2,508.71","2,485.34","2,496.02","482,138,400",336,482,"2,487.10","2,454.13","2,474.03",3.39,2.27,4.49
2018-03-23,"2,450.40","2,412.62","2,416.76","457,952,800",53,825,"2,471.66","2,454.25","2,473.81",-1.42,-0.97,1.17
2018-03-26,"2,437.08","2,399.44","2,437.08","306,904,000",553,277,"2,464.07","2,453.53","2,473.76",-0.84,0.40,2.64
2018-03-27,"2,456.55","2,444.92","2,452.06","332,128,600",599,217,"2,457.38","2,453.25","2,474.17",-0.17,0.63,3.35
2018-03-28,"2,430.77","2,409.47","2,419.29","501,307,000",245,592,"2,444.24","2,451.41","2,473.88",-0.33,-1.95,1.94
2018-03-29,"2,439.47","2,413.71","2,436.37","333,359,400",447,357,"2,432.31","2,451.86","2,473.36",0.37,-1.26,1.75
2018-03-30,"2,458.24","2,445.72","2,445.85","395,329,300",646,194,"2,438.13","2,454.04","2,472.80",0.76,-0.88,2.15
2018-04-02,"2,467.52","2,440.89","2,444.16","390,319,300",351,480,"2,439.55","2,457.50","2,472.09",1.75,-1.43,2.08
2018-04-03,"2,442.43","2,416.44","2,442.43","497,140,700",399,425,"2,437.62","2,459.05","2,471.69",1.68,-1.77,2.00
2018-04-04,"2,447.97","2,405.91","2,408.06","551,703,700",186,650,"2,435.37","2,459.36","2,470.20",0.25,-2.37,0.57
2018-04-05,"2,446.78","2,420.92","2,437.52","591,042,700",473,326,"2,435.60","2,459.58","2,468.94",2.63,-2.40,1.80
2018-04-06,"2,433.97","2,417.24","2,429.58","454,309,300",315,493,"2,432.35","2,458.09","2,467.60",0.75,-2.72,1.47
2018-04-09,"2,446.28","2,424.15","2,444.08","334,424,800",365,463,"2,432.33","2,456.09","2,466.67",-0.62,-2.64,2.07
2018-04-10,"2,454.36","2,419.55","2,450.74","356,390,200",355,463,"2,434.00","2,453.90","2,466.05",-0.35,-1.96,0.70
2018-04-11,"2,458.99","2,441.20","2,444.22","355,187,800",448,378,"2,441.23","2,451.80","2,465.18",-0.62,-1.76,-0.57
