,동일가중지수
2019-01-02,100
2019-01-03,98.906
2019-01-04,100.2768372
2019-01-07,101.2314726
2019-01-08,101.4784774
2019-01-09,100.6017034
2019-01-10,100.0363218
2019-01-11,100.6665507
2019-01-14,100.370591
2019-01-15,100.4870209
2019-01-16,100.0167416
2019-01-17,98.93856115
2019-01-18,99.92003167
2019-01-21,99.86207805
2019-01-22,100.8347347
2019-01-23,101.3792423
2019-01-24,102.0807866
2019-01-25,102.0052468
2019-01-28,101.5319425
2019-01-29,102.4254236
2019-01-30,101.8231621
2019-01-31,100.666451
2019-02-01,100.5476646
2019-02-07,99.74328324
2019-02-08,99.96870306
2019-02-11,100.6105021
2019-02-12,100.5259893
2019-02-13,101.4206706
2019-02-14,101.2482555
2019-02-15,100.5982417
2019-02-18,100.7793185
2019-02-19,100.9728148
2019-02-20,100.9506008
2019-02-21,100.7507186
2019-02-22,100.383986
2019-02-25,100.1470798
2019-02-26,100.0669621
2019-02-27,100.1510184
2019-02-28,99.4860156
2019-03-04,100.8748404
2019-03-05,100.6488807
2019-03-06,100.3892066
2019-03-07,100.0278055
2019-03-08,99.67370705
2019-03-11,99.67769399
2019-03-12,100.4013541
2019-03-13,99.01179931
2019-03-14,98.17019902
2019-03-15,98.07399222
2019-03-18,99.32541636
2019-03-19,99.8578006
2019-03-20,101.2418297
2019-03-21,100.3144546
2019-03-22,101.2313287
2019-03-25,100.0469221
2019-03-26,100.5671661
2019-03-27,100.2252378
2019-03-28,100.3635486
2019-03-29,99.86574538
2019-04-01,100.415007
2019-04-02,100.7805176
2019-04-03,100.3290209
2019-04-04,100.1644813
2019-04-05,100.1143991
2019-04-08,100.9333348
2019-04-09,100.6042922
2019-04-10,101.5157671
2019-04-11,101.7005257
2019-04-12,101.8062943
2019-04-15,101.2952267
2019-04-16,101.4188069
2019-04-17,101.5831053
2019-04-18,101.5648204
2019-04-19,101.2641885
2019-04-22,101.2520368
2019-04-23,101.6307194
2019-04-24,101.3339577
2019-04-25,101.4981187
2019-04-26,102.0015494
2019-04-29,102.5931584
2019-04-30,102.5603286
2019-05-02,103.2126123
2019-05-03,103.194034
2019-05-07,103.0578179
2019-05-08,103.4700491
2019-05-09,103.0292667
2019-05-10,103.2250223
2019-05-13,103.759728
2019-05-14,104.5047228
2019-05-15,104.8537686
2019-05-16,104.0505887
2019-05-17,104.3481734
2019-05-20,104.2939123
2019-05-21,104.248023
2019-05-22,104.1250104
2019-05-23,103.9021828
2019-05-24,103.4408571
2019-05-27,103.4905088
2019-05-28,103.3870182
2019-05-29,103.3932215
2019-05-30,103.4449181
2019-05-31,103.8773178
2019-06-03,104.3177577
2019-06-04,103.9505592
2019-06-05,104.0087715
2019-06-07,104.1606243
2019-06-10,104.8397515
2019-06-11,104.9320105
2019-06-12,106.2100824
2019-06-13,106.384267
2019-06-14,106.580014
2019-06-17,106.8869644
2019-06-18,107.6522751
2019-06-19,108.3843106
2019-06-20,108.4341674
2019-06-21,108.039467
2019-06-24,108.0265023
2019-06-25,107.9098336
2019-06-26,107.5148836
2019-06-27,107.5471381
2019-06-28,107.7858928
2019-07-01,108.0876933
2019-07-02,109.6592883
2019-07-03,109.7097316
2019-07-04,110.2407267
2019-07-05,110.7588581
2019-07-08,110.6768966
2019-07-09,110.7233808
2019-07-10,110.8451766
2019-07-11,111.0469148
2019-07-12,110.0030738
2019-07-15,107.8712142
2019-07-16,109.344735
2019-07-17,108.6011908
2019-07-18,108.5707825
2019-07-19,109.0658652
2019-07-22,109.236008
2019-07-23,109.7079075
2019-07-24,109.2098336
2019-07-25,108.7751785
2019-07-26,108.6468238
2019-07-29,107.3126408
2019-07-30,107.3512734
2019-07-31,107.9202351
2019-08-01,107.3072482
2019-08-02,106.8243655
2019-08-05,104.130255
2019-08-06,102.8202964
2019-08-07,103.4166542
2019-08-08,104.0619741
2019-08-09,105.6041725
2019-08-12,105.0529188
2019-08-13,105.3680775
