Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2021-08-27,"5,400","5,150","5,290","11,496,664"
2021-08-30,"5,290","5,200","5,230","1,406,894"
2021-08-31,"5,330","5,180","5,320","1,541,512"
2021-09-01,"5,390","5,260","5,360","838,042"
2021-09-02,"5,380","5,280","5,320","902,312"
2021-09-03,"5,370","5,290","5,370","533,675"
2021-09-06,"5,390","5,330","5,380","416,587"
2021-09-07,"5,420","5,370","5,390","619,558"
2021-09-08,"5,400","5,340","5,390","502,736"
2021-09-09,"5,400","5,290","5,330","535,424"
2021-09-10,"5,370","5,310","5,360","183,101"
2021-09-13,"5,370","5,320","5,350","312,920"
2021-09-14,"5,350","5,290","5,300","813,014"
2021-09-15,"5,310","5,280","5,310","233,823"
2021-09-16,"5,340","5,290","5,330","173,827"
2021-09-17,"5,330","5,290","5,320","182,680"
2021-09-23,"5,310","5,260","5,300","232,035"
2021-09-24,"5,310","5,280","5,300","267,113"
2021-09-27,"5,300","5,270","5,290","474,841"
2021-09-28,"5,330","5,280","5,310","507,019"
2021-09-29,"5,300","5,230","5,290","352,982"
2021-09-30,"5,310","5,270","5,280","103,804"
2021-10-01,"5,290","5,250","5,260","147,640"
2021-10-05,"5,280","5,220","5,230","329,096"
2021-10-06,"5,270","5,240","5,260","257,883"
2021-10-07,"5,270","5,250","5,270","128,690"
2021-10-08,"5,280","5,260","5,280","91,482"
2021-10-12,"5,280","5,260","5,270","50,087"
2021-10-13,"5,280","5,260","5,280","119,900"
2021-10-14,"5,290","5,270","5,290","105,423"
2021-10-15,"5,330","5,290","5,330","252,536"
2021-10-18,"5,350","5,290","5,340","178,763"
2021-10-19,"5,380","5,330","5,380","181,282"
2021-10-20,"5,480","5,370","5,470","410,657"
2021-10-21,"5,480","5,440","5,470","161,328"
2021-10-22,"5,470","5,440","5,450","100,974"
2021-10-25,"5,480","5,420","5,470","94,601"
2021-10-26,"5,480","5,430","5,460","83,493"
2021-10-27,"5,500","5,450","5,490","149,889"
2021-10-28,"5,500","5,470","5,490","90,023"
2021-10-29,"5,490","5,430","5,450","294,533"
2021-11-01,"5,480","5,400","5,430","123,636"
2021-11-02,"5,450","5,390","5,410","101,784"
2021-11-03,"5,410","5,350","5,400","160,617"
2021-11-04,"5,420","5,370","5,370","137,382"
2021-11-05,"5,390","5,330","5,380","76,001"
2021-11-08,"5,390","5,340","5,380","121,410"
2021-11-09,"5,400","5,360","5,400","65,945"
2021-11-10,"5,420","5,370","5,390","79,986"
