Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2019-10-30,"6,331","5,727","6,331","46,404,235"
2019-10-31,"6,915","6,136","6,331","38,408,579"
2019-11-01,"6,341","6,078","6,194","6,700,382"
2019-11-04,"6,263","6,000","6,224","5,210,989"
2019-11-05,"6,565","6,224","6,457","7,915,709"
2019-11-06,"6,506","6,380","6,389","2,980,757"
2019-11-07,"6,496","6,370","6,496","2,137,229"
2019-11-08,"6,604","6,428","6,516","2,854,791"
2019-11-11,"6,574","6,467","6,496","1,108,408"
2019-11-12,"6,496","6,389","6,467","1,282,530"
2019-11-13,"6,477","6,350","6,409","1,121,009"
2019-11-14,"6,448","6,302","6,360","991,037"
2019-11-15,"6,380","6,253","6,360","1,256,940"
2019-11-18,"6,360","6,233","6,243","1,114,369"
2019-11-19,"6,399","6,214","6,370","1,176,136"
2019-11-20,"6,370","6,302","6,341","581,972"
2019-11-21,"6,360","6,253","6,341","608,379"
2019-11-22,"6,389","6,302","6,341","775,095"
2019-11-25,"6,360","6,282","6,331","521,965"
2019-11-26,"6,341","6,282","6,292","544,418"
2019-11-27,"6,360","6,282","6,331","706,123"
2019-11-28,"6,341","6,292","6,331","431,182"
2019-11-29,"6,341","6,302","6,331","591,326"
2019-12-02,"6,282","6,107","6,175","3,028,271"
2019-12-03,"6,126","6,009","6,058","1,651,227"
2019-12-04,"6,214","6,048","6,214","805,995"
2019-12-05,"6,311","6,194","6,243","954,977"
2019-12-06,"6,233","6,107","6,136","947,314"
2019-12-09,"6,136","6,029","6,097","771,485"
2019-12-10,"6,185","6,078","6,146","782,200"
2019-12-11,"6,175","6,097","6,146","851,236"
2019-12-12,"6,146","6,107","6,136","812,025"
2019-12-13,"6,136","6,087","6,126","1,466,414"
2019-12-16,"6,233","6,097","6,194","1,387,578"
2019-12-17,"6,194","6,097","6,136","505,694"
2019-12-18,"6,136","6,078","6,097","523,196"
2019-12-19,"6,097","6,019","6,068","840,559"
2019-12-20,"6,126","6,019","6,087","472,564"
2019-12-23,"6,136","6,087","6,107","395,313"
2019-12-24,"6,136","6,039","6,078","487,548"
2019-12-26,"6,097","6,048","6,078","870,457"
2019-12-27,"6,107","5,970","6,068","889,765"
2019-12-30,"6,068","5,980","6,000","472,652"
2020-01-02,"6,000","5,893","5,970","657,374"
2020-01-03,"5,980","5,912","5,941","547,978"
2020-01-06,"5,932","5,834","5,902","1,005,203"
2020-01-07,"5,922","5,805","5,824","829,605"
2020-01-08,"5,824","5,698","5,756","1,134,397"
2020-01-09,"5,844","5,766","5,776","410,833"
2020-01-10,"5,815","5,669","5,698","712,144"
2020-01-13,"5,698","5,522","5,561","1,529,322"
2020-01-14,"5,542","5,367","5,454","2,336,803"
2020-01-15,"5,581","5,415","5,581","947,336"
2020-01-16,"5,630","5,532","5,581","473,297"
2020-01-17,"5,600","5,522","5,591","574,737"
2020-01-20,"5,610","5,542","5,552","406,378"
2020-01-21,"5,571","5,532","5,561","465,386"
2020-01-22,"5,581","5,483","5,513","379,317"
2020-01-23,"5,503","5,396","5,396","1,011,815"
2020-01-28,"5,357","5,211","5,250","1,410,318"
2020-01-29,"5,445","5,279","5,425","472,340"
2020-01-30,"5,445","5,289","5,425","1,451,177"
2020-01-31,"5,483","5,357","5,483","832,302"
2020-02-03,"5,591","5,367","5,571","904,480"
2020-02-04,"5,591","5,503","5,561","446,948"
2020-02-05,"5,630","5,532","5,561","335,269"
2020-02-06,"5,620","5,552","5,591","367,653"
2020-02-07,"5,620","5,552","5,591","351,043"
2020-02-10,"5,610","5,571","5,610","198,569"
2020-02-11,"5,630","5,591","5,600","430,434"
2020-02-12,"5,591","5,522","5,552","532,062"
2020-02-13,"5,561","5,513","5,532","321,925"
2020-02-14,"5,483","5,367","5,464","1,427,961"
2020-02-17,"5,454","5,337","5,357","806,333"
2020-02-18,"5,357","5,318","5,347","444,986"
2020-02-19,"5,425","5,337","5,425","381,974"
2020-02-20,"5,425","5,357","5,396","344,826"
2020-02-21,"5,396","5,337","5,347","703,562"
2020-02-24,"5,308","5,191","5,211","1,579,263"
2020-02-25,"5,240","5,172","5,230","720,278"
2020-02-26,"5,230","5,152","5,221","475,772"
2020-02-27,"5,240","5,143","5,191","527,191"
2020-02-28,"5,162","4,948","4,958","1,384,005"
2020-03-02,"5,035","4,919","5,026","445,194"
2020-03-03,"5,113","5,026","5,084","356,812"
2020-03-04,"5,230","5,035","5,221","772,383"
2020-03-05,"5,289","5,201","5,279","778,135"
2020-03-06,"5,259","5,201","5,230","324,880"
2020-03-09,"5,201","5,113","5,172","518,601"
2020-03-10,"5,259","5,094","5,240","424,607"
2020-03-11,"5,279","5,162","5,221","412,192"
2020-03-12,"5,221","4,997","5,026","775,600"
2020-03-13,"4,850","4,573","4,729","1,861,648"
2020-03-16,"4,938","4,719","4,724","944,808"
2020-03-17,"4,870","4,578","4,870","688,334"
2020-03-18,"4,948","4,836","4,850","401,735"
2020-03-19,"4,841","4,422","4,558","1,279,344"
2020-03-20,"4,724","4,466","4,558","984,153"
2020-03-23,"4,471","4,320","4,359","945,277"
2020-03-24,"4,412","4,349","4,402","658,030"
