Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2019-01-02,"3,235","3,055","3,140",580
2019-01-03,"3,300","3,140","3,150",149
2019-01-04,"3,150","3,120","3,150",308
2019-01-07,"3,280","3,185","3,185",106
2019-01-08,"3,275","3,135","3,190",573
2019-01-09,"3,310","3,070","3,100","2,407"
2019-01-10,"3,180","3,050","3,170","3,876"
2019-01-11,"3,310","3,145","3,180","1,841"
2019-01-14,"3,290","3,125","3,190","5,767"
2019-01-15,"3,190","3,175","3,175",651
2019-01-16,"3,270","3,165","3,180","1,757"
2019-01-17,"3,180","3,080","3,160","10,351"
2019-01-18,"3,325","3,085","3,135","17,221"
2019-01-21,"3,175","3,055","3,055","15,591"
2019-01-22,"3,100","3,040","3,065","18,960"
2019-01-23,"3,085","3,065","3,070",214
2019-01-24,"3,090","3,040","3,090",34
2019-01-25,"3,100","3,070","3,085",389
2019-01-28,"3,145","3,090","3,090","4,537"
2019-01-29,"3,130","3,070","3,105","1,093"
2019-01-30,"3,095","3,070","3,085","2,714"
2019-01-31,"3,130","3,085","3,085","2,964"
2019-02-01,"3,120","3,080","3,110","1,224"
2019-02-07,"3,130","3,040","3,060","3,924"
2019-02-08,"3,085","3,040","3,050","2,209"
2019-02-11,"3,075","3,035","3,050","1,526"
2019-02-12,"3,070","3,035","3,070","1,718"
2019-02-13,"3,070","3,060","3,060",601
2019-02-14,"3,085","3,060","3,080","2,392"
2019-02-15,"3,115","3,055","3,085",757
2019-02-18,"3,095","3,060","3,085","1,586"
2019-02-19,"3,130","3,070","3,110","1,638"
2019-02-20,"3,115","3,050","3,115","3,030"
2019-02-21,"3,120","3,070","3,095","2,380"
2019-02-22,"3,105","3,085","3,100",288
2019-02-25,"3,140","3,085","3,095","2,846"
2019-02-26,"3,110","3,085","3,110","2,309"
2019-02-27,"3,125","3,090","3,095","3,146"
2019-02-28,"3,115","3,075","3,085","1,918"
2019-03-04,"3,140","3,080","3,115",372
2019-03-05,"3,130","3,055","3,125",292
2019-03-06,"3,120","3,070","3,095","3,440"
2019-03-07,"3,110","3,090","3,090","1,813"
2019-03-08,"3,110","3,090","3,090",152
2019-03-11,"3,125","3,070","3,080","2,752"
2019-03-12,"3,100","3,085","3,100",202
2019-03-13,"3,135","2,900","2,950","68,280"
2019-03-14,"2,990","2,835","2,835","83,408"
2019-03-15,"3,020","2,835","2,850","203,438"
2019-03-18,"2,995","2,900","2,960","31,751"
2019-03-19,"3,055","2,960","3,050","23,692"
2019-03-20,"3,200","3,000","3,195","34,899"
2019-03-21,"3,235","3,070","3,090","7,705"
2019-03-22,"3,255","3,135","3,240","46,843"
2019-03-25,"3,280","3,100","3,105","14,803"
2019-03-26,"3,185","3,015","3,180","4,492"
2019-03-27,"3,195","3,100","3,105","1,761"
2019-03-28,"3,180","3,100","3,180",730
2019-03-29,"3,185","3,085","3,085","1,986"
2019-04-01,"3,135","3,090","3,135",124
2019-04-02,"3,190","3,085","3,175","1,713"
2019-04-03,"3,185","3,025","3,025","12,225"
2019-04-04,"3,085","3,040","3,070","1,443"
2019-04-05,"3,080","3,040","3,040",515
2019-04-08,"3,085","3,010","3,050","1,352"
2019-04-09,"3,120","3,000","3,030","4,559"
2019-04-10,"3,150","3,035","3,150",501
2019-04-11,"3,135","3,045","3,110","4,862"
2019-04-12,"3,175","3,110","3,140","1,983"
2019-04-15,"3,140","3,050","3,110","6,303"
2019-04-16,"3,130","3,070","3,100",135
2019-04-17,"3,130","3,030","3,075","11,007"
2019-04-18,"3,100","3,040","3,060","15,761"
2019-04-19,"3,070","3,000","3,045","23,288"
2019-04-22,"3,070","3,000","3,005","11,364"
2019-04-23,"3,030","2,970","3,005","9,957"
2019-04-24,"3,040","2,985","3,010","12,224"
2019-04-25,"3,030","3,000","3,025","6,462"
2019-04-26,"3,035","3,010","3,020","2,034"
2019-04-29,"3,035","2,990","3,020","25,515"
2019-04-30,"3,030","2,990","3,020","37,612"
2019-05-02,"3,045","3,020","3,045","20,428"
2019-05-03,"3,045","3,030","3,045",740
2019-05-07,"3,040","3,020","3,040","13,352"
2019-05-08,"3,100","3,025","3,055","11,295"
2019-05-09,"3,055","3,000","3,000","2,608"
2019-05-10,"3,010","2,990","3,000","1,423"
2019-05-13,"3,035","3,000","3,005",820
2019-05-14,"3,035","2,975","3,005","1,077"
2019-05-15,"3,035","3,010","3,030",825
2019-05-16,"3,040","3,005","3,035",517
2019-05-17,"3,035","3,015","3,035",364
2019-05-20,"3,040","3,035","3,035","1,388"
2019-05-21,"3,035","3,005","3,030","1,282"
2019-05-22,"3,030","3,005","3,025",799
2019-05-23,"3,025","2,980","3,025","1,021"
2019-05-24,"3,020","2,980","3,005","4,005"
2019-05-27,"3,010","2,975","3,010","4,107"
2019-05-28,"3,005","2,980","3,005","1,514"
2019-05-29,"3,005","2,950","3,005","15,866"
2019-05-30,"3,010","2,990","3,010",275
2019-05-31,"3,020","3,000","3,020","1,277"
2019-06-03,"3,030","3,020","3,025",773
2019-06-04,"3,030","3,010","3,025",108
2019-06-05,"3,030","3,000","3,010","1,757"
2019-06-07,"3,025","2,980","3,000",501
2019-06-10,"3,000","3,000","3,000",213
2019-06-11,"3,000","2,990","3,000","1,163"
2019-06-12,"3,000","2,955","3,000","5,029"
2019-06-13,"3,005","2,995","3,005","2,978"
2019-06-14,"3,000","2,970","2,995","2,240"
2019-06-17,"3,005","2,995","3,000","1,650"
2019-06-18,"3,010","3,000","3,010","2,021"
2019-06-19,"3,010","3,000","3,005","1,779"
2019-06-20,"3,020","2,995","3,020","5,926"
2019-06-21,"3,020","3,000","3,015",205
2019-06-24,"3,015","3,000","3,010","3,431"
2019-06-25,"3,010","3,000","3,010","3,270"
2019-06-26,"3,010","2,995","3,005","1,166"
2019-06-27,"3,025","2,990","3,010","3,524"
2019-06-28,"3,010","2,985","3,000","6,047"
2019-07-01,"3,010","2,995","2,995","11,837"
2019-07-02,"3,010","2,995","2,995","3,959"
2019-07-03,"3,000","2,990","2,990","3,049"
2019-07-04,"3,045","2,995","3,035","7,022"
