Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2021-12-03,"5,350","5,180","5,230","8,856,414"
2021-12-06,"5,240","5,190","5,240","666,930"
2021-12-07,"5,250","5,210","5,240","428,627"
2021-12-08,"5,280","5,210","5,270","488,452"
2021-12-09,"5,320","5,250","5,310","507,799"
2021-12-10,"5,320","5,280","5,320","301,938"
2021-12-13,"5,450","5,300","5,450","439,014"
2021-12-14,"5,590","5,390","5,560","474,140"
2021-12-15,"5,790","5,530","5,780","691,232"
2021-12-16,"5,840","5,610","5,720","372,224"
2021-12-17,"5,700","5,560","5,640","278,151"
2021-12-20,"5,600","5,490","5,570","290,543"
2021-12-21,"5,570","5,450","5,560","167,935"
2021-12-22,"5,550","5,480","5,530","81,020"
2021-12-23,"5,610","5,520","5,600","122,812"
2021-12-24,"5,640","5,590","5,600","130,185"
2021-12-27,"5,600","5,540","5,590","94,209"
2021-12-28,"5,590","5,540","5,570","119,514"
2021-12-29,"5,610","5,520","5,560","56,068"
2021-12-30,"5,600","5,530","5,550","76,275"
2022-01-03,"5,500","5,380","5,490","370,281"
2022-01-04,"5,510","5,450","5,490","125,445"
2022-01-05,"5,500","5,470","5,470","157,268"
2022-01-06,"5,490","5,430","5,450","105,855"
2022-01-07,"5,460","5,420","5,450","105,379"
2022-01-10,"5,450","5,410","5,430","83,475"
2022-01-11,"5,450","5,370","5,380","107,848"
2022-01-12,"5,400","5,350","5,380","83,442"
2022-01-13,"5,400","5,360","5,390","52,135"
2022-01-14,"5,400","5,350","5,370","86,796"
2022-01-17,"5,370","5,310","5,320","102,543"
2022-01-18,"5,400","5,290","5,320","83,314"
2022-01-19,"5,360","5,300","5,300","80,265"
2022-01-20,"5,340","5,280","5,330","52,886"
2022-01-21,"5,380","5,330","5,380","79,282"
2022-01-24,"5,490","5,360","5,460","111,104"
2022-01-25,"5,490","5,420","5,440","174,003"
2022-01-26,"5,470","5,390","5,460","53,411"
2022-01-27,"5,500","5,400","5,420","170,509"
2022-01-28,"5,500","5,380","5,490","103,603"
2022-02-03,"5,570","5,450","5,550","116,221"
2022-02-04,"5,600","5,500","5,590","75,644"
2022-02-07,"5,670","5,550","5,670","108,727"
2022-02-08,"5,690","5,590","5,670","102,688"
2022-02-09,"5,700","5,600","5,700","86,314"
2022-02-10,"5,730","5,650","5,700","98,072"
2022-02-11,"5,730","5,630","5,630","104,728"
2022-02-14,"5,700","5,590","5,650","70,940"
2022-02-15,"5,700","5,650","5,660","60,654"
2022-02-16,"5,700","5,660","5,680","39,368"
2022-02-17,"5,710","5,670","5,690","41,976"
2022-02-18,"5,700","5,650","5,680","15,760"
2022-02-21,"5,690","5,650","5,670","24,555"
2022-02-22,"5,700","5,640","5,680","41,224"
2022-02-23,"5,700","5,650","5,700","30,651"
2022-02-24,"5,710","5,650","5,690","71,405"
2022-02-25,"5,720","5,680","5,680","32,893"
2022-02-28,"5,730","5,660","5,710","52,892"
2022-03-02,"5,730","5,680","5,700","61,522"
2022-03-03,"5,700","5,570","5,700","211,323"
2022-03-04,"5,700","5,650","5,690","80,329"
2022-03-07,"5,690","5,650","5,660","52,071"
2022-03-08,"5,700","5,640","5,700","97,738"
2022-03-10,"5,710","5,670","5,670","86,652"
2022-03-11,"5,700","5,650","5,700","57,621"
2022-03-14,"5,700","5,670","5,700","50,332"
2022-03-15,"5,700","5,660","5,700","56,120"
2022-03-16,"5,700","5,640","5,690","135,746"
2022-03-17,"5,690","5,660","5,660","30,272"
2022-03-18,"5,700","5,660","5,690","27,178"
2022-03-21,"5,700","5,670","5,700","35,471"
2022-03-22,"5,700","5,660","5,700","65,645"
2022-03-23,"5,710","5,680","5,690","59,428"
2022-03-24,"5,710","5,680","5,700","49,312"
2022-03-25,"5,720","5,690","5,710","61,607"
2022-03-28,"5,800","5,710","5,770","87,519"
2022-03-29,"5,800","5,730","5,760","74,686"
2022-03-30,"5,820","5,700","5,820","110,021"
2022-03-31,"5,860","5,790","5,830","61,550"
2022-04-01,"5,840","5,700","5,840","78,389"
2022-04-04,"5,950","5,820","5,950","74,230"
2022-04-05,"6,000","5,930","5,950","67,343"
2022-04-06,"6,010","5,900","5,990","64,003"
2022-04-07,"6,000","5,930","5,990","77,833"
2022-04-08,"6,170","5,980","6,140","119,793"
2022-04-11,"6,230","6,110","6,220","111,165"
2022-04-12,"6,380","6,180","6,360","146,989"
2022-04-13,"6,570","6,240","6,270","224,710"
2022-04-14,"6,330","6,140","6,180","119,029"
2022-04-15,"6,440","6,100","6,430","161,818"
2022-04-18,"6,500","6,380","6,410","97,426"
2022-04-19,"6,410","6,300","6,320","95,603"
2022-04-20,"6,380","6,300","6,320","49,113"
2022-04-21,"6,390","6,300","6,390","28,294"
2022-04-22,"6,510","6,350","6,470","73,247"
2022-04-25,"6,650","6,480","6,650","133,200"
2022-04-26,"6,940","6,600","6,840","185,487"
2022-04-27,"7,040","6,770","6,820","173,260"
2022-04-28,"6,830","6,580","6,600","173,615"
2022-04-29,"6,740","6,500","6,700","142,638"
2022-05-02,"6,640","6,440","6,450","186,714"
2022-05-03,"6,490","6,230","6,230","226,013"
2022-05-04,"6,230","6,020","6,050","315,625"
2022-05-06,"6,160","6,070","6,150","65,275"
2022-05-09,"6,180","6,050","6,070","74,083"
2022-05-10,"6,070","5,890","6,030","96,301"
2022-05-11,"6,190","6,030","6,170","49,659"
2022-05-12,"6,250","6,110","6,150","64,237"
2022-05-13,"6,280","6,190","6,270","62,299"
2022-05-16,"6,360","6,230","6,340","36,243"
2022-05-17,"6,410","6,270","6,370","43,942"
2022-05-18,"6,400","6,210","6,360","72,665"
