Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2020-08-05,"4,550","4,300","4,350","1,924,775"
2020-08-06,"4,670","4,350","4,600","595,568"
2020-08-07,"4,635","4,555","4,590","175,776"
2020-08-10,"4,590","4,500","4,590","191,833"
2020-08-11,"4,650","4,555","4,640","230,088"
2020-08-12,"4,865","4,620","4,760","215,966"
2020-08-13,"4,820","4,730","4,780","363,114"
2020-08-14,"4,785","4,710","4,760","60,409"
2020-08-18,"4,800","4,640","4,660","113,989"
2020-08-19,"4,755","4,665","4,730","68,967"
2020-08-20,"4,780","4,655","4,685","95,666"
2020-08-21,"4,790","4,690","4,730","23,834"
2020-08-24,"4,760","4,730","4,750","43,431"
2020-08-25,"4,775","4,740","4,760","69,237"
2020-08-26,"4,785","4,750","4,765","34,217"
2020-08-27,"4,790","4,750","4,760","79,402"
2020-08-28,"4,780","4,755","4,760","34,066"
2020-08-31,"4,790","4,750","4,765","73,962"
2020-09-01,"4,780","4,705","4,760","28,649"
2020-09-02,"4,815","4,740","4,790","80,615"
2020-09-03,"4,800","4,755","4,765","25,542"
2020-09-04,"4,800","4,745","4,760","15,249"
2020-09-07,"4,765","4,750","4,755","28,658"
2020-09-08,"4,780","4,755","4,765","45,583"
2020-09-09,"4,805","4,755","4,780","24,735"
2020-09-10,"4,830","4,790","4,810","72,209"
2020-09-11,"4,820","4,790","4,810","11,710"
2020-09-14,"4,820","4,790","4,800","28,993"
2020-09-15,"4,800","4,780","4,790","28,848"
2020-09-16,"4,800","4,770","4,800","37,387"
2020-09-17,"4,805","4,770","4,785","27,168"
2020-09-18,"4,815","4,780","4,785","30,133"
2020-09-21,"4,790","4,780","4,785","41,376"
2020-09-22,"4,790","4,755","4,755","31,277"
2020-09-23,"4,790","4,735","4,750","72,796"
2020-09-24,"4,755","4,730","4,740","15,869"
2020-09-25,"4,780","4,730","4,735","38,084"
2020-09-28,"4,770","4,720","4,750","48,107"
2020-09-29,"4,760","4,710","4,760","48,864"
2020-10-05,"4,765","4,745","4,750","45,198"
2020-10-06,"4,780","4,735","4,740","62,229"
2020-10-07,"4,780","4,720","4,770","66,759"
2020-10-08,"4,785","4,755","4,775","79,269"
2020-10-12,"4,800","4,770","4,795","65,499"
2020-10-13,"4,805","4,750","4,785","58,811"
2020-10-14,"4,805","4,760","4,765","56,796"
2020-10-15,"4,820","4,755","4,780","29,556"
2020-10-16,"4,840","4,760","4,810","56,568"
2020-10-19,"4,910","4,765","4,880","109,455"
2020-10-20,"4,930","4,870","4,885","58,030"
2020-10-21,"4,965","4,875","4,965","128,577"
2020-10-22,"5,000","4,955","4,995","115,819"
2020-10-23,"5,000","4,980","4,995","103,696"
2020-10-26,"5,050","4,985","5,000","161,604"
2020-10-27,"5,020","4,985","5,010","81,847"
2020-10-28,"5,010","4,990","5,000","26,517"
2020-10-29,"5,020","4,970","5,000","98,769"
2020-10-30,"5,020","4,970","5,010","92,541"
2020-11-02,"5,020","4,990","5,010","67,980"
2020-11-03,"5,020","4,980","5,020","96,895"
2020-11-04,"5,020","4,995","5,010","38,690"
2020-11-05,"5,020","4,995","5,000","49,462"
2020-11-06,"5,020","4,995","5,020","46,910"
2020-11-09,"5,020","4,995","5,010","29,886"
2020-11-10,"5,020","4,990","5,010","32,155"
2020-11-11,"5,020","4,995","5,000","17,595"
2020-11-12,"5,010","4,995","5,010","15,968"
2020-11-13,"5,020","4,995","5,020","37,904"
2020-11-16,"5,020","4,995","4,995","35,688"
2020-11-17,"5,020","4,995","5,010","12,466"
2020-11-18,"5,020","5,000","5,000","38,245"
2020-11-19,"5,030","5,000","5,010","47,120"
2020-11-20,"5,020","5,000","5,020","16,092"
2020-11-23,"5,020","5,000","5,000","82,912"
2020-11-24,"5,020","4,995","5,010","47,856"
2020-11-25,"5,020","5,000","5,010","74,778"
2020-11-26,"5,020","4,965","5,000","62,012"
2020-11-27,"4,970","4,875","4,910","73,392"
2020-11-30,"4,925","4,860","4,905","26,753"
2020-12-01,"4,905","4,800","4,870","38,269"
2020-12-02,"4,880","4,855","4,870","31,772"
2020-12-03,"4,915","4,845","4,910","69,781"
2020-12-04,"4,910","4,860","4,910","43,523"
2020-12-07,"4,900","4,855","4,900","12,199"
2020-12-08,"4,900","4,850","4,890","10,544"
2020-12-09,"4,895","4,835","4,840","32,819"
2020-12-10,"4,870","4,815","4,820","22,202"
2020-12-11,"4,880","4,820","4,880","26,448"
2020-12-14,"4,880","4,825","4,865","44,532"
2020-12-15,"4,870","4,830","4,870","22,152"
2020-12-16,"4,870","4,845","4,860","21,979"
2020-12-17,"4,870","4,845","4,865","26,680"
2020-12-18,"4,870","4,855","4,870","29,107"
2020-12-21,"4,900","4,845","4,885","39,622"
