Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2021-12-10,"5,000","4,795","4,915","5,553,075"
2021-12-13,"4,945","4,870","4,925","576,426"
2021-12-14,"4,975","4,900","4,965","467,663"
2021-12-15,"4,990","4,950","4,990","432,234"
2021-12-16,"4,995","4,975","4,985","457,523"
2021-12-17,"4,990","4,975","4,985","279,396"
2021-12-20,"5,030","4,970","5,030","873,399"
2021-12-21,"5,060","4,995","5,040","761,850"
2021-12-22,"5,050","5,000","5,040","178,300"
2021-12-23,"5,040","5,020","5,030","242,417"
2021-12-24,"5,030","5,000","5,020","409,344"
2021-12-27,"5,020","4,995","5,010","182,549"
2021-12-28,"5,030","4,990","4,990","369,117"
2021-12-29,"4,975","4,915","4,965","114,066"
2021-12-30,"5,000","4,960","5,000","145,484"
2022-01-03,"5,000","4,960","4,980","160,804"
2022-01-04,"4,995","4,965","4,985","158,017"
2022-01-05,"4,985","4,955","4,970","117,958"
2022-01-06,"4,985","4,930","4,980","199,982"
2022-01-07,"4,985","4,950","4,975","79,634"
2022-01-10,"4,960","4,895","4,930","295,126"
2022-01-11,"4,940","4,910","4,920","157,039"
2022-01-12,"4,920","4,890","4,900","197,915"
2022-01-13,"4,920","4,860","4,880","144,694"
2022-01-14,"4,895","4,840","4,880","130,043"
2022-01-17,"4,875","4,770","4,795","370,991"
2022-01-18,"4,825","4,750","4,805","102,232"
2022-01-19,"4,820","4,735","4,805","206,946"
2022-01-20,"4,805","4,750","4,790","68,611"
2022-01-21,"4,825","4,770","4,820","69,378"
2022-01-24,"4,845","4,760","4,815","110,802"
2022-01-25,"4,815","4,745","4,785","107,573"
2022-01-26,"4,800","4,755","4,760","54,058"
2022-01-27,"4,790","4,705","4,705","145,012"
2022-01-28,"4,760","4,705","4,740","95,473"
2022-02-03,"4,820","4,755","4,805","149,096"
2022-02-04,"4,835","4,780","4,800","127,264"
2022-02-07,"4,880","4,775","4,840","140,499"
2022-02-08,"4,885","4,830","4,845","175,195"
2022-02-09,"4,900","4,845","4,885","106,414"
2022-02-10,"4,940","4,875","4,915","137,267"
2022-02-11,"4,990","4,890","4,955","239,848"
2022-02-14,"4,980","4,910","4,960","92,679"
2022-02-15,"4,990","4,950","4,980","181,261"
2022-02-16,"4,990","4,970","4,990","105,845"
2022-02-17,"4,990","4,970","4,985","85,649"
2022-02-18,"4,980","4,955","4,955","29,841"
2022-02-21,"4,970","4,920","4,935","59,898"
2022-02-22,"4,950","4,920","4,940","24,839"
2022-02-23,"4,955","4,930","4,955","25,143"
2022-02-24,"4,955","4,900","4,925","64,295"
2022-02-25,"4,965","4,925","4,960","45,181"
2022-02-28,"4,965","4,925","4,955","101,275"
2022-03-02,"4,980","4,910","4,970","165,556"
2022-03-03,"4,995","4,950","4,985","177,104"
2022-03-04,"4,995","4,975","4,990","114,639"
2022-03-07,"4,995","4,935","4,995","90,976"
2022-03-08,"4,995","4,950","4,995","79,446"
2022-03-10,"4,990","4,955","4,975","112,272"
2022-03-11,"4,990","4,930","4,945","119,941"
2022-03-14,"4,985","4,935","4,970","86,824"
2022-03-15,"4,990","4,930","4,985","199,513"
2022-03-16,"4,990","4,945","4,980","82,843"
2022-03-17,"5,000","4,980","5,000","234,922"
2022-03-18,"5,000","4,980","4,995","84,812"
2022-03-21,"5,020","4,980","5,000","162,362"
2022-03-22,"5,010","4,980","5,010","136,348"
2022-03-23,"5,010","4,960","4,990","102,318"
2022-03-24,"5,010","4,990","5,010","77,993"
2022-03-25,"5,010","4,980","5,010","111,068"
2022-03-28,"5,010","4,975","5,010","191,352"
2022-03-29,"5,020","4,995","5,020","186,670"
2022-03-30,"5,020","5,000","5,020","177,827"
2022-03-31,"5,160","5,000","5,120","410,552"
2022-04-01,"5,170","5,080","5,160","320,431"
2022-04-04,"5,220","5,110","5,210","265,035"
2022-04-05,"5,210","5,150","5,190","232,401"
2022-04-06,"5,330","5,180","5,270","430,882"
2022-04-07,"5,530","5,230","5,260","532,878"
2022-04-08,"5,420","5,260","5,370","188,604"
2022-04-11,"5,440","5,350","5,420","220,813"
2022-04-12,"5,430","5,300","5,360","230,349"
2022-04-13,"5,420","5,330","5,400","194,109"
2022-04-14,"5,430","5,380","5,410","173,320"
2022-04-15,"5,500","5,390","5,480","301,615"
2022-04-18,"5,500","5,420","5,460","183,268"
2022-04-19,"5,480","5,400","5,450","142,686"
2022-04-20,"5,500","5,430","5,480","101,867"
