Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2019-01-02,"5,524","5,475","5,504","26,653"
2019-01-03,"5,553","5,465","5,494","55,955"
2019-01-04,"5,504","5,435","5,445","57,841"
2019-01-07,"5,494","5,308","5,357","130,546"
2019-01-08,"5,376","5,308","5,347","122,357"
2019-01-09,"5,357","5,298","5,327","61,989"
2019-01-10,"5,347","5,288","5,337","81,342"
2019-01-11,"5,347","5,298","5,317","95,909"
2019-01-14,"5,327","5,308","5,308","53,391"
2019-01-15,"5,327","5,258","5,258","105,583"
2019-01-16,"5,298","5,258","5,288","97,693"
2019-01-17,"5,298","5,249","5,268","46,729"
2019-01-18,"5,298","5,268","5,298","32,073"
2019-01-21,"5,347","5,298","5,337","50,336"
2019-01-22,"5,367","5,327","5,337","64,262"
2019-01-23,"5,367","5,317","5,367","88,047"
2019-01-24,"5,465","5,376","5,435","34,663"
2019-01-25,"5,553","5,435","5,475","55,768"
2019-01-28,"5,475","5,308","5,396","80,776"
2019-01-29,"5,494","5,396","5,465","422,250"
2019-01-30,"5,524","5,416","5,445","65,036"
2019-01-31,"5,543","5,445","5,534","116,732"
2019-02-01,"5,563","5,465","5,465","37,783"
2019-02-07,"5,524","5,465","5,475","29,487"
2019-02-08,"5,534","5,475","5,524","23,132"
2019-02-11,"5,583","5,514","5,563","52,904"
2019-02-12,"5,612","5,524","5,612","65,312"
2019-02-13,"5,642","5,524","5,573","53,122"
2019-02-14,"5,593","5,534","5,563","29,523"
2019-02-15,"5,602","5,524","5,524","77,025"
2019-02-18,"5,583","5,534","5,583","45,632"
2019-02-19,"5,583","5,534","5,553","104,587"
2019-02-20,"5,583","5,534","5,534","60,390"
2019-02-21,"5,573","5,524","5,543","46,268"
2019-02-22,"5,563","5,484","5,494","70,532"
2019-02-25,"5,553","5,465","5,475","66,263"
2019-02-26,"5,553","5,475","5,524","48,663"
2019-02-27,"5,583","5,504","5,534","65,699"
2019-02-28,"5,553","5,514","5,534","23,790"
2019-03-04,"5,573","5,524","5,553","89,750"
2019-03-05,"5,573","5,524","5,553","50,931"
2019-03-06,"5,573","5,514","5,553","67,351"
2019-03-07,"5,583","5,543","5,563","38,643"
2019-03-08,"5,602","5,563","5,593","59,639"
2019-03-11,"5,632","5,573","5,622","123,617"
2019-03-12,"5,642","5,563","5,622","106,083"
2019-03-13,"5,632","5,583","5,602","76,782"
2019-03-14,"5,632","5,583","5,612","47,368"
2019-03-15,"5,642","5,593","5,642","51,567"
2019-03-18,"5,740","5,642","5,740","95,523"
2019-03-19,"5,819","5,691","5,750","83,855"
2019-03-20,"5,799","5,720","5,740","167,480"
2019-03-21,"5,760","5,711","5,760","121,029"
2019-03-22,"5,789","5,730","5,750","157,505"
2019-03-25,"5,779","5,701","5,760","148,487"
2019-03-26,"5,878","5,730","5,828","145,090"
2019-03-27,"5,848","5,799","5,828","141,217"
2019-03-28,"5,809","5,730","5,809","83,848"
2019-03-29,"5,809","5,770","5,799","94,454"
2019-04-01,"5,868","5,740","5,799","174,651"
2019-04-02,"5,819","5,779","5,779","62,604"
2019-04-03,"5,819","5,779","5,789","48,448"
2019-04-04,"5,799","5,652","5,681","146,839"
2019-04-05,"5,770","5,701","5,701","28,357"
2019-04-08,"5,789","5,711","5,779","83,333"
2019-04-09,"5,809","5,750","5,809","63,410"
2019-04-10,"5,868","5,750","5,848","164,762"
2019-04-11,"6,035","5,868","6,005","412,519"
2019-04-12,"6,035","5,878","5,966","184,580"
2019-04-15,"5,966","5,868","5,897","123,508"
2019-04-16,"6,035","5,897","5,976","150,073"
2019-04-17,"6,025","5,907","5,996","69,401"
2019-04-18,"6,025","5,976","6,015","82,327"
2019-04-19,"6,025","5,976","6,005","43,054"
2019-04-22,"6,153","6,005","6,005","114,653"
2019-04-23,"6,094","6,015","6,064","80,043"
2019-04-24,"6,104","5,927","5,996","133,912"
2019-04-25,"6,015","5,907","5,966","144,867"
2019-04-26,"6,045","5,956","6,005","46,860"
2019-04-29,"6,045","5,976","6,045","103,823"
2019-04-30,"6,133","5,996","6,035","44,047"
2019-05-02,"6,094","6,025","6,064","76,696"
