Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2019-01-02,"4,089","4,002","4,085","11,713"
2019-01-03,"4,081","3,982","4,015","3,354"
2019-01-04,"4,044","3,936","4,031","16,186"
2019-01-07,"4,027","3,936","3,945","9,313"
2019-01-08,"3,965","3,949","3,949",198
2019-01-09,"4,126","3,936","3,953","4,277"
2019-01-10,"4,015","3,932","3,941","18,184"
2019-01-11,"3,969","3,837","3,949","41,065"
2019-01-14,"4,068","3,883","3,994","22,845"
2019-01-15,"4,250","3,990","4,168","52,049"
2019-01-16,"4,225","4,085","4,184","35,286"
2019-01-17,"4,225","4,151","4,217","14,927"
2019-01-18,"4,333","4,217","4,300","38,297"
2019-01-21,"4,456","4,300","4,448","40,975"
2019-01-22,"4,687","4,448","4,539","40,965"
2019-01-23,"4,630","4,465","4,630","26,189"
2019-01-24,"4,902","4,605","4,720","45,269"
2019-01-25,"4,803","4,704","4,753","20,917"
2019-01-28,"4,976","4,654","4,919","106,241"
2019-01-29,"4,960","4,704","4,902","17,013"
2019-01-30,"4,902","4,621","4,778","29,747"
2019-01-31,"4,687","4,588","4,646","23,129"
2019-02-01,"4,786","4,646","4,720","13,981"
2019-02-07,"4,943","4,646","4,729","5,637"
2019-02-08,"4,762","4,654","4,737","4,557"
2019-02-11,"4,803","4,712","4,762","6,585"
2019-02-12,"4,795","4,696","4,762","18,853"
2019-02-13,"4,778","4,704","4,745","17,297"
2019-02-14,"4,795","4,654","4,687","7,989"
2019-02-15,"4,811","4,704","4,720","57,752"
2019-02-18,"4,844","4,770","4,795","35,893"
2019-02-19,"4,902","4,745","4,869","23,526"
2019-02-20,"4,960","4,844","4,910","8,402"
2019-02-21,"4,968","4,869","4,919","32,094"
2019-02-22,"4,960","4,803","4,919","16,611"
2019-02-25,"4,952","4,885","4,935","12,270"
2019-02-26,"4,985","4,869","4,952","32,295"
2019-02-27,"4,985","4,852","4,910","17,034"
2019-02-28,"4,976","4,795","4,828","12,839"
2019-03-04,"5,059","4,828","5,001","32,824"
2019-03-05,"5,067","4,985","4,985","12,265"
2019-03-06,"5,009","4,877","4,968","7,507"
2019-03-07,"5,042","4,828","4,919","22,592"
2019-03-08,"4,943","4,819","4,836","15,176"
2019-03-11,"4,927","4,819","4,877","23,186"
2019-03-12,"4,985","4,836","4,976","24,950"
2019-03-13,"5,108","4,786","4,927","13,136"
2019-03-14,"4,935","4,828","4,885","12,493"
2019-03-15,"4,927","4,836","4,885","8,907"
2019-03-18,"4,919","4,762","4,836","37,782"
2019-03-19,"4,910","4,819","4,861","2,348"
