Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2019-01-02,"4,880","4,810","4,825","33,972"
2019-01-03,"4,825","4,760","4,760","42,274"
2019-01-04,"4,775","4,740","4,740","41,907"
2019-01-07,"4,825","4,740","4,805","32,963"
2019-01-08,"4,805","4,795","4,805","24,633"
2019-01-09,"4,815","4,790","4,800","34,926"
2019-01-10,"4,810","4,785","4,800","24,519"
2019-01-11,"4,810","4,750","4,790","21,181"
2019-01-14,"4,805","4,745","4,770","27,337"
2019-01-15,"4,830","4,740","4,790","49,894"
2019-01-16,"4,805","4,775","4,800","19,555"
2019-01-17,"4,835","4,770","4,795","28,929"
2019-01-18,"4,800","4,755","4,800","42,629"
2019-01-21,"4,825","4,760","4,770","72,479"
2019-01-22,"4,800","4,765","4,785","25,433"
2019-01-23,"4,820","4,790","4,805","33,522"
2019-01-24,"4,805","4,790","4,805","66,655"
2019-01-25,"4,820","4,790","4,810","53,063"
2019-01-28,"4,830","4,795","4,805","24,885"
2019-01-29,"4,815","4,795","4,815","12,333"
2019-01-30,"4,820","4,785","4,800","52,067"
2019-01-31,"4,805","4,790","4,795","28,341"
2019-02-01,"4,815","4,795","4,800","17,650"
2019-02-07,"4,850","4,790","4,805","48,505"
2019-02-08,"4,805","4,785","4,800","39,500"
2019-02-11,"4,830","4,805","4,825","39,369"
2019-02-12,"4,825","4,795","4,800","50,726"
2019-02-13,"4,810","4,795","4,800","61,438"
2019-02-14,"4,810","4,790","4,795","59,766"
2019-02-15,"4,830","4,795","4,810","25,611"
2019-02-18,"4,805","4,795","4,795","49,545"
2019-02-19,"4,830","4,795","4,800","18,843"
2019-02-20,"4,810","4,795","4,810","36,854"
2019-02-21,"4,830","4,795","4,800","97,825"
2019-02-22,"4,800","4,785","4,800","35,909"
2019-02-25,"4,810","4,790","4,795","6,226"
2019-02-26,"4,820","4,795","4,805","38,765"
2019-02-27,"4,810","4,795","4,800","27,330"
2019-02-28,"4,820","4,790","4,800","56,847"
2019-03-04,"4,825","4,795","4,800","27,756"
2019-03-05,"4,810","4,795","4,795","26,259"
2019-03-06,"4,820","4,790","4,795","22,791"
2019-03-07,"4,845","4,790","4,800","42,226"
2019-03-08,"4,800","4,785","4,800","50,794"
2019-03-11,"4,825","4,785","4,800","77,309"
2019-03-12,"4,820","4,755","4,795","192,225"
2019-03-13,"4,795","4,765","4,795","34,976"
2019-03-14,"4,805","4,760","4,765","91,439"
2019-03-15,"4,790","4,760","4,775","41,460"
2019-03-18,"4,800","4,770","4,785","77,458"
2019-03-19,"4,800","4,765","4,775","65,195"
2019-03-20,"4,800","4,765","4,790","40,667"
2019-03-21,"4,820","4,785","4,820","76,126"
2019-03-22,"4,850","4,795","4,810","127,819"
2019-03-25,"4,840","4,790","4,820","80,994"
2019-03-26,"4,830","4,785","4,800","98,594"
2019-03-27,"4,840","4,800","4,810","109,819"
2019-03-28,"4,890","4,805","4,820","181,640"
2019-03-29,"4,860","4,815","4,860","154,734"
2019-04-01,"4,955","4,860","4,915","233,358"
2019-04-02,"4,995","4,920","4,950","195,767"
2019-04-03,"5,000","4,925","4,950","142,154"
2019-04-04,"4,990","4,945","4,945","140,914"
2019-04-05,"4,980","4,940","4,950","67,889"
2019-04-08,"4,970","4,940","4,965","83,246"
2019-04-09,"4,980","4,945","4,945","89,809"
2019-04-10,"4,970","4,945","4,950","123,621"
2019-04-11,"4,975","4,940","4,950","100,700"
2019-04-12,"4,970","4,940","4,970","91,075"
2019-04-15,"4,975","4,940","4,965","146,769"
2019-04-16,"4,990","4,950","4,975","113,129"
2019-04-17,"4,980","4,955","4,975","126,550"
2019-04-18,"4,990","4,955","4,975","134,034"
2019-04-19,"4,975","4,945","4,950","223,067"
2019-04-22,"4,980","4,955","4,980","66,810"
2019-04-23,"5,000","4,970","4,985","99,313"
2019-04-24,"4,990","4,965","4,980","94,554"
2019-04-25,"5,060","4,980","5,040","189,984"
2019-04-26,"5,240","5,030","5,200","367,312"
2019-04-29,"5,390","5,220","5,280","293,979"
2019-04-30,"5,320","5,220","5,300","86,053"
2019-05-02,"5,470","5,300","5,420","176,333"
2019-05-03,"5,480","5,320","5,400","158,108"
2019-05-07,"5,420","5,300","5,400","93,792"
2019-05-08,"5,410","5,300","5,400","176,893"
2019-05-09,"5,450","5,360","5,400","133,758"
2019-05-10,"5,510","5,380","5,400","120,774"
2019-05-13,"5,400","5,350","5,400","30,658"
2019-05-14,"5,410","5,340","5,400","80,133"
2019-05-15,"5,420","5,360","5,400","37,306"
2019-05-16,"5,440","5,330","5,380","56,577"
2019-05-17,"5,410","5,380","5,400","28,546"
2019-05-20,"5,400","5,360","5,400","77,387"
2019-05-21,"5,400","5,340","5,380","109,814"
2019-05-22,"5,400","5,330","5,380","52,346"
2019-05-23,"5,380","5,320","5,330","189,284"
2019-05-24,"5,380","5,340","5,350","39,426"
2019-05-27,"5,390","5,340","5,380","30,214"
2019-05-28,"5,400","5,350","5,360","55,692"
2019-05-29,"5,390","5,360","5,380","68,644"
2019-05-30,"5,450","5,370","5,390","98,039"
2019-05-31,"5,480","5,400","5,480","52,248"
2019-06-03,"5,650","5,470","5,620","216,528"
2019-06-04,"5,650","5,510","5,580","69,955"
2019-06-05,"5,650","5,580","5,620","118,763"
2019-06-07,"5,690","5,580","5,670","52,369"
2019-06-10,"5,820","5,610","5,800","107,770"
2019-06-11,"5,810","5,720","5,780","50,151"
2019-06-12,"5,890","5,760","5,890","75,548"
2019-06-13,"5,950","5,880","5,940","130,007"
2019-06-14,"6,100","5,910","6,090","122,800"
2019-06-17,"6,250","6,090","6,190","140,410"
2019-06-18,"6,240","6,160","6,230","126,389"
2019-06-19,"6,370","6,240","6,350","195,461"
2019-06-20,"6,350","6,070","6,180","360,369"
2019-06-21,"6,200","6,060","6,100","165,334"
2019-06-24,"6,160","6,050","6,150","80,255"
2019-06-25,"6,180","6,120","6,160","87,185"
2019-06-26,"6,200","6,090","6,150","132,204"
2019-06-27,"6,120","6,060","6,110","92,386"
2019-06-28,"6,130","6,070","6,100","59,304"
2019-07-01,"6,140","6,090","6,130","53,578"
2019-07-02,"6,300","6,110","6,290","154,863"
2019-07-03,"6,370","6,250","6,250","68,783"
2019-07-04,"6,340","6,220","6,320","89,801"
2019-07-05,"6,340","6,270","6,290","43,041"
2019-07-08,"6,310","6,180","6,240","90,197"
2019-07-09,"6,280","6,170","6,210","34,394"
2019-07-10,"6,200","5,900","6,160","82,235"
2019-07-11,"6,200","6,120","6,180","25,460"
2019-07-12,"6,180","6,050","6,090","105,234"
2019-07-15,"6,180","5,890","5,900","163,662"
2019-07-16,"6,050","5,820","6,040","114,786"
2019-07-17,"6,060","5,940","6,010","64,809"
2019-07-18,"6,050","5,950","6,050","34,433"
2019-07-19,"6,180","6,050","6,150","62,418"
2019-07-22,"6,200","6,080","6,170","54,611"
2019-07-23,"6,240","6,140","6,240","74,363"
2019-07-24,"6,250","6,190","6,240","86,070"
2019-07-25,"6,250","6,160","6,200","90,156"
2019-07-26,"6,200","6,090","6,140","109,648"
2019-07-29,"6,110","6,040","6,060","60,605"
2019-07-30,"6,140","6,010","6,080","57,883"
2019-07-31,"6,100","6,030","6,100","39,715"
2019-08-01,"6,100","6,040","6,090","40,110"
2019-08-02,"6,090","6,000","6,040","67,980"
2019-08-05,"6,030","5,880","5,930","94,728"
