Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2020-08-05,"4,500","4,060","4,190","2,356,867"
2020-08-06,"4,295","4,170","4,280","467,776"
2020-08-07,"4,295","4,205","4,250","213,006"
2020-08-10,"4,385","4,210","4,380","328,885"
2020-08-11,"4,540","4,380","4,460","323,575"
2020-08-12,"4,805","4,460","4,700","409,969"
2020-08-13,"4,800","4,715","4,740","100,485"
2020-08-14,"4,745","4,660","4,745","129,292"
2020-08-18,"4,780","4,665","4,670","110,098"
2020-08-19,"4,710","4,620","4,695","66,980"
2020-08-20,"4,695","4,625","4,640","102,826"
2020-08-21,"4,700","4,590","4,700","63,527"
2020-08-24,"4,725","4,645","4,670","97,382"
2020-08-25,"4,700","4,645","4,660","55,281"
2020-08-26,"4,680","4,610","4,650","96,493"
2020-08-27,"4,655","4,580","4,595","123,150"
2020-08-28,"4,600","4,530","4,545","54,915"
2020-08-31,"4,555","4,465","4,515","153,323"
2020-09-01,"4,495","4,450","4,465","82,193"
2020-09-02,"4,490","4,460","4,480","50,040"
2020-09-03,"4,500","4,460","4,490","54,163"
2020-09-04,"4,495","4,465","4,470","118,418"
2020-09-07,"4,490","4,455","4,470","102,186"
2020-09-08,"4,545","4,480","4,525","84,563"
2020-09-09,"4,540","4,470","4,515","103,989"
2020-09-10,"4,535","4,505","4,515","56,445"
2020-09-11,"4,535","4,490","4,515","82,852"
2020-09-14,"4,535","4,505","4,525","92,161"
2020-09-15,"4,570","4,540","4,570","56,718"
2020-09-16,"4,685","4,570","4,685","93,867"
2020-09-17,"4,800","4,620","4,650","199,732"
2020-09-18,"4,670","4,650","4,660","51,881"
2020-09-21,"4,725","4,670","4,700","82,068"
2020-09-22,"4,725","4,670","4,690","60,863"
2020-09-23,"4,700","4,675","4,685","64,945"
2020-09-24,"4,740","4,665","4,690","144,485"
2020-09-25,"4,710","4,675","4,690","71,136"
2020-09-28,"4,710","4,680","4,690","56,894"
2020-09-29,"4,710","4,670","4,705","82,883"
2020-10-05,"4,760","4,705","4,760","129,630"
2020-10-06,"4,895","4,750","4,890","192,080"
2020-10-07,"4,965","4,865","4,920","214,574"
2020-10-08,"4,995","4,910","4,995","252,416"
2020-10-12,"4,995","4,930","4,980","109,201"
2020-10-13,"4,975","4,940","4,955","47,688"
2020-10-14,"5,000","4,935","4,975","136,613"
2020-10-15,"4,990","4,965","4,985","141,884"
2020-10-16,"5,010","4,965","4,995","110,843"
2020-10-19,"5,010","4,950","5,000","132,405"
2020-10-20,"5,010","4,975","5,000","67,025"
2020-10-21,"5,000","4,980","5,000","57,045"
2020-10-22,"5,010","4,980","5,000","137,199"
2020-10-23,"5,050","5,000","5,050","266,287"
2020-10-26,"5,120","5,040","5,120","252,189"
2020-10-27,"5,120","5,020","5,070","154,328"
2020-10-28,"5,080","5,030","5,050","133,846"
2020-10-29,"5,070","5,030","5,050","126,675"
2020-10-30,"5,130","5,030","5,090","138,036"
2020-11-02,"5,130","5,070","5,100","184,276"
2020-11-03,"5,120","5,080","5,090","117,904"
2020-11-04,"5,110","5,060","5,090","99,580"
2020-11-05,"5,120","5,080","5,090","99,672"
2020-11-06,"5,120","5,070","5,100","60,811"
2020-11-09,"5,100","5,040","5,080","97,189"
2020-11-10,"5,090","5,040","5,080","58,980"
2020-11-11,"5,080","5,010","5,070","121,344"
2020-11-12,"5,070","5,040","5,050","90,152"
2020-11-13,"5,070","5,030","5,030","85,994"
2020-11-16,"5,060","5,020","5,040","58,687"
2020-11-17,"5,050","5,020","5,030","77,106"
2020-11-18,"5,040","5,020","5,040","78,167"
2020-11-19,"5,050","5,020","5,040","97,180"
2020-11-20,"5,080","5,030","5,080","116,603"
2020-11-23,"5,100","5,040","5,090","78,428"
2020-11-24,"5,100","5,050","5,070","124,741"
2020-11-25,"5,080","5,030","5,060","51,889"
2020-11-26,"5,080","5,040","5,060","54,289"
2020-11-27,"5,080","5,030","5,050","64,962"
2020-11-30,"5,050","5,010","5,020","85,121"
2020-12-01,"5,040","5,000","5,020","69,979"
2020-12-02,"5,040","5,000","5,040","66,864"
2020-12-03,"5,040","5,000","5,010","87,654"
2020-12-04,"5,030","5,000","5,020","70,489"
2020-12-07,"5,030","4,995","5,030","69,613"
2020-12-08,"5,050","4,995","5,020","36,747"
2020-12-09,"5,020","4,985","5,010","52,605"
2020-12-10,"5,020","4,975","4,995","83,298"
2020-12-11,"5,010","4,985","5,000","78,487"
2020-12-14,"5,020","4,980","4,995","180,845"
2020-12-15,"5,020","4,990","5,020","24,593"
2020-12-16,"5,040","5,000","5,010","23,374"
2020-12-17,"5,040","5,000","5,000","46,213"
