Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2020-08-07,"4,955","4,568","4,791","4,782,397"
2020-08-10,"4,890","4,771","4,821","1,056,566"
2020-08-11,"4,945","4,811","4,885","809,427"
2020-08-12,"5,014","4,905","4,975","988,210"
2020-08-13,"4,995","4,935","4,935","1,030,017"
2020-08-14,"5,005","4,915","4,955","483,834"
2020-08-18,"4,965","4,930","4,950","586,484"
2020-08-19,"4,965","4,935","4,955","514,099"
2020-08-20,"4,995","4,915","4,925","669,476"
2020-08-21,"4,975","4,910","4,950","343,582"
2020-08-24,"4,935","4,895","4,925","450,546"
2020-08-25,"4,935","4,890","4,910","308,928"
2020-08-26,"4,915","4,870","4,895","291,166"
2020-08-27,"4,910","4,856","4,865","204,188"
2020-08-28,"4,865","4,796","4,806","305,944"
2020-08-31,"4,880","4,811","4,865","195,393"
2020-09-01,"4,930","4,851","4,856","91,957"
2020-09-02,"4,895","4,836","4,836","195,222"
2020-09-03,"4,890","4,856","4,865","240,234"
2020-09-04,"4,865","4,816","4,861","173,538"
2020-09-07,"4,910","4,836","4,851","305,310"
2020-09-08,"4,856","4,811","4,836","492,970"
2020-09-09,"4,890","4,816","4,851","168,340"
2020-09-10,"4,865","4,836","4,856","174,384"
2020-09-11,"4,856","4,816","4,836","211,147"
2020-09-14,"4,861","4,816","4,841","346,506"
2020-09-15,"4,841","4,816","4,831","108,771"
2020-09-16,"4,905","4,816","4,865","177,439"
2020-09-17,"4,870","4,816","4,846","265,411"
2020-09-18,"4,856","4,821","4,836","121,360"
2020-09-21,"4,846","4,821","4,826","192,074"
2020-09-22,"4,905","4,826","4,895","167,697"
2020-09-23,"4,940","4,821","4,900","447,207"
2020-09-24,"4,915","4,865","4,875","96,213"
2020-09-25,"4,940","4,856","4,885","160,915"
2020-09-28,"4,925","4,870","4,910","58,635"
2020-09-29,"4,955","4,895","4,955","114,123"
2020-10-05,"4,975","4,935","4,975","188,672"
2020-10-06,"4,985","4,955","4,985","316,389"
2020-10-07,"4,995","4,955","4,965","139,000"
2020-10-08,"4,995","4,960","4,985","337,816"
2020-10-12,"5,064","4,975","5,014","250,770"
2020-10-13,"5,114","5,024","5,104","354,787"
2020-10-14,"5,114","5,064","5,104","201,891"
2020-10-15,"5,114","5,054","5,114","168,112"
2020-10-16,"5,114","5,014","5,114","374,462"
2020-10-19,"5,114","5,044","5,044","161,607"
2020-10-20,"5,094","5,024","5,054","119,432"
2020-10-21,"5,094","5,034","5,084","156,279"
2020-10-22,"5,173","5,054","5,163","361,575"
2020-10-23,"5,183","5,134","5,173","194,096"
2020-10-26,"5,183","5,104","5,173","270,286"
2020-10-27,"5,183","5,084","5,163","323,682"
2020-10-28,"5,193","5,163","5,183","118,924"
2020-10-29,"5,203","5,144","5,203","107,588"
2020-10-30,"5,243","5,193","5,243","295,348"
2020-11-02,"5,243","5,183","5,233","242,306"
2020-11-03,"5,243","5,173","5,233","175,241"
2020-11-04,"5,243","5,193","5,243","123,505"
2020-11-05,"5,243","5,173","5,233","196,027"
2020-11-06,"5,233","5,153","5,203","215,686"
2020-11-09,"5,203","5,084","5,094","400,738"
2020-11-10,"5,153","5,044","5,104","243,466"
2020-11-11,"5,144","5,044","5,144","226,690"
2020-11-12,"5,144","5,064","5,124","244,769"
2020-11-13,"5,144","5,014","5,134","436,604"
2020-11-16,"5,134","5,024","5,074","419,891"
2020-11-17,"5,074","4,995","5,054","393,210"
2020-11-18,"5,104","5,014","5,104","211,429"
2020-11-19,"5,183","5,064","5,153","248,485"
2020-11-20,"5,153","5,104","5,134","104,729"
2020-11-23,"5,203","5,114","5,183","439,788"
2020-11-24,"5,203","5,124","5,163","295,906"
2020-11-25,"5,153","5,074","5,114","414,140"
2020-11-26,"5,163","5,084","5,163","218,395"
2020-11-27,"5,183","5,104","5,183","250,703"
2020-11-30,"5,183","5,094","5,094","551,972"
2020-12-01,"5,153","5,034","5,074","427,061"
2020-12-02,"5,094","5,044","5,074","139,317"
2020-12-03,"5,084","5,034","5,084","151,803"
2020-12-04,"5,084","5,024","5,074","472,544"
2020-12-07,"5,074","5,034","5,074","361,615"
2020-12-08,"5,074","5,034","5,064","203,177"
2020-12-09,"5,084","5,034","5,084","243,666"
2020-12-10,"5,114","5,044","5,084","294,825"
2020-12-11,"5,094","5,054","5,084","460,109"
2020-12-14,"5,124","5,074","5,104","334,505"
2020-12-15,"5,163","5,084","5,153","707,959"
2020-12-16,"5,193","5,134","5,163","708,537"
2020-12-17,"5,283","5,163","5,263","763,237"
