Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2019-01-02,"1,114","1,076","1,109","891,671"
2019-01-03,"1,114","1,067","1,081","779,881"
2019-01-04,"1,170","1,067","1,165","1,726,495"
2019-01-07,"1,259","1,179","1,236","2,580,151"
2019-01-08,"1,278","1,212","1,250","2,189,027"
2019-01-09,"1,264","1,217","1,236","807,162"
2019-01-10,"1,240","1,161","1,175","1,077,460"
2019-01-11,"1,217","1,151","1,212","780,759"
2019-01-14,"1,198","1,137","1,184","1,335,660"
2019-01-15,"1,184","1,118","1,151","898,491"
2019-01-16,"1,156","1,081","1,109","1,090,904"
2019-01-17,"1,104","1,053","1,053","816,854"
2019-01-18,"1,090","1,043","1,085","586,645"
2019-01-21,"1,090","1,057","1,071","452,811"
2019-01-22,"1,099","1,053","1,095","976,337"
2019-01-23,"1,099","1,076","1,090","356,790"
2019-01-24,"1,095","1,067","1,085","385,495"
2019-01-25,"1,095","1,053","1,067","681,529"
2019-01-28,"1,067","1,006","1,020","1,621,911"
2019-01-29,"1,062",982,"1,048","1,512,178"
2019-01-30,"1,099","1,020","1,057","1,599,081"
2019-01-31,"1,048","1,001","1,010","1,306,153"
2019-02-01,"1,010",963,991,"878,918"
2019-02-07,"1,020",954,963,"1,425,795"
2019-02-08,982,940,968,"780,358"
2019-02-11,982,940,982,"1,221,601"
2019-02-12,"1,001",949,968,"805,121"
2019-02-13,"1,024",963,"1,024","1,374,405"
2019-02-14,"1,034","1,001","1,024","782,865"
2019-02-15,"1,029",968,987,"1,080,109"
2019-02-18,991,949,973,"850,702"
2019-02-19,977,934,963,"1,252,975"
2019-02-20,963,940,954,"466,624"
2019-02-21,954,935,949,"834,072"
2019-02-22,959,930,939,"779,053"
2019-02-25,940,926,930,"1,187,513"
2019-02-26,937,896,909,"1,334,834"
2019-02-27,928,908,924,"419,994"
2019-02-28,959,912,912,"1,253,727"
2019-03-04,954,920,930,"237,567"
2019-03-05,939,912,921,"293,134"
2019-03-06,932,917,921,"242,003"
2019-03-07,937,907,912,"382,488"
2019-03-08,923,896,907,"401,266"
2019-03-11,914,891,897,"326,609"
2019-03-12,916,897,907,"249,287"
2019-03-13,917,900,900,"160,236"
2019-03-14,915,895,909,"226,112"
2019-03-15,915,890,893,"395,421"
2019-03-18,909,895,907,"196,518"
2019-03-19,914,899,899,"243,045"
2019-03-20,912,891,912,"427,601"
2019-03-21,912,896,896,"312,115"
2019-03-22,903,890,897,"316,693"
2019-03-25,892,880,880,"255,380"
2019-03-26,883,873,876,"141,549"
2019-03-27,884,873,877,"227,342"
2019-03-28,877,868,870,"240,111"
2019-03-29,876,864,867,"271,590"
2019-04-01,875,865,867,"236,837"
2019-04-02,874,865,867,"242,920"
2019-04-03,884,865,881,"222,464"
2019-04-04,885,865,881,"621,863"
2019-04-05,893,875,882,"222,666"
2019-04-08,897,882,892,"205,153"
2019-04-09,896,883,885,"206,885"
2019-04-10,890,876,883,"190,916"
2019-04-11,890,878,883,"161,691"
2019-04-12,887,879,879,"287,084"
2019-04-15,886,875,881,"319,091"
2019-04-16,881,870,877,"340,429"
2019-04-17,902,877,896,"772,250"
2019-04-18,911,883,895,"317,449"
2019-04-19,897,883,887,"306,126"
2019-04-22,902,883,893,"271,491"
2019-04-23,921,893,894,"553,576"
2019-04-24,901,887,887,"196,580"
2019-04-25,898,881,888,"268,164"
2019-04-26,896,864,873,"633,679"
2019-04-29,881,872,878,"132,771"
2019-04-30,885,869,876,"250,609"
2019-05-02,880,869,877,"210,055"
2019-05-03,878,873,875,"108,134"
2019-05-07,881,869,875,"158,523"
2019-05-08,882,869,871,"121,232"
2019-05-09,878,857,861,"484,037"
2019-05-10,870,855,859,"252,378"
2019-05-13,872,857,863,"149,956"
2019-05-14,866,855,863,"193,228"
2019-05-15,868,857,862,"127,014"
2019-05-16,875,860,865,"322,562"
2019-05-17,872,864,866,"191,587"
2019-05-20,869,856,859,"198,270"
2019-05-21,871,853,858,"158,673"
2019-05-22,867,855,863,"157,921"
2019-05-23,867,854,857,"202,751"
2019-05-24,860,853,859,"193,877"
2019-05-27,867,853,860,"69,156"
2019-05-28,864,854,858,"116,753"
2019-05-29,860,851,855,"143,562"
2019-05-30,858,847,851,"231,372"
2019-05-31,854,846,850,"245,461"
2019-06-03,850,840,846,"192,363"
2019-06-04,846,836,841,"308,002"
2019-06-05,850,837,846,"127,386"
2019-06-07,850,841,846,"159,238"
2019-06-10,850,841,846,"119,626"
2019-06-11,850,844,849,"152,337"
2019-06-12,887,849,873,"526,305"
2019-06-13,877,865,873,"149,746"
2019-06-14,882,865,867,"186,137"
2019-06-17,871,861,865,"210,036"
2019-06-18,883,864,868,"229,646"
2019-06-19,876,866,867,"75,499"
2019-06-20,875,865,873,"212,246"
2019-06-21,876,865,869,"157,260"
2019-06-24,872,863,867,"154,797"
2019-06-25,872,856,860,"230,447"
2019-06-26,866,854,860,"135,137"
2019-06-27,867,853,860,"183,420"
2019-06-28,865,850,865,"140,077"
2019-07-01,869,858,865,"152,048"
2019-07-02,865,858,864,"49,341"
2019-07-03,868,860,865,"135,858"
2019-07-04,866,859,865,"164,441"
2019-07-05,881,865,868,"213,552"
2019-07-08,874,853,864,"211,404"
2019-07-09,866,849,854,"236,856"
2019-07-10,865,850,854,"83,131"
2019-07-11,858,851,855,"62,076"
2019-07-12,862,849,860,"145,542"
2019-07-15,859,850,850,"68,409"
2019-07-16,852,846,848,"108,606"
2019-07-17,850,832,850,"638,710"
2019-07-18,850,838,848,"104,045"
2019-07-19,850,838,848,"162,224"
2019-07-22,855,839,848,"120,258"
2019-07-23,852,842,848,"100,511"
2019-07-24,852,837,837,"131,158"
2019-07-25,845,827,837,"186,854"
2019-07-26,841,827,829,"109,790"
2019-07-29,834,805,805,"365,014"
2019-07-30,818,801,808,"224,740"
2019-07-31,836,799,818,"100,320"
2019-08-01,818,803,812,"120,535"
2019-08-02,814,800,811,"111,127"
2019-08-05,827,752,776,"398,743"
2019-08-06,779,742,763,"199,968"
2019-08-07,784,754,772,"201,909"
2019-08-08,780,761,775,"105,466"
2019-08-09,785,771,773,"89,448"
2019-08-12,777,765,775,"115,460"
2019-08-13,777,765,771,"73,697"
2019-08-14,779,769,773,"39,870"
2019-08-16,774,761,773,"145,983"
2019-08-19,821,765,813,"746,083"
2019-08-20,865,802,852,"704,087"
2019-08-21,869,841,850,"321,950"
2019-08-22,851,824,824,"275,716"
2019-08-23,850,803,836,"756,748"
2019-08-26,834,809,822,"67,716"
2019-08-27,832,816,823,"68,718"
2019-08-28,846,815,843,"138,390"
2019-08-29,847,815,825,"215,366"
2019-08-30,836,815,828,"114,335"
2019-09-02,837,822,830,"105,301"
2019-09-03,865,825,862,"239,078"
2019-09-04,859,846,850,"108,204"
2019-09-05,866,846,861,"615,261"
2019-09-06,870,853,861,"194,051"
2019-09-09,915,852,914,"747,780"
2019-09-10,937,847,847,"10,156,163"
2019-09-11,874,835,852,"300,419"
2019-09-16,872,846,869,"260,813"
2019-09-17,882,858,865,"1,095,262"
2019-09-18,869,851,867,"220,173"
