Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2022-03-28,"5,490","5,260","5,410","9,086,883"
2022-03-29,"5,460","5,400","5,420","693,894"
2022-03-30,"5,480","5,420","5,470","629,619"
2022-03-31,"5,590","5,440","5,580","565,297"
2022-04-01,"5,780","5,560","5,770","771,071"
2022-04-04,"5,950","5,830","5,910","675,958"
2022-04-05,"6,160","5,900","6,130","1,018,672"
2022-04-06,"6,250","6,000","6,250","840,224"
2022-04-07,"6,250","6,070","6,180","357,438"
2022-04-08,"6,200","6,100","6,190","333,789"
2022-04-11,"6,240","6,100","6,190","139,558"
2022-04-12,"6,190","6,070","6,160","236,625"
2022-04-13,"6,170","6,120","6,170","104,181"
2022-04-14,"6,200","6,140","6,190","158,983"
2022-04-15,"6,260","6,160","6,260","216,563"
2022-04-18,"6,300","6,190","6,250","232,345"
2022-04-19,"6,240","6,150","6,180","139,964"
2022-04-20,"6,240","6,180","6,210","58,102"
2022-04-21,"6,310","6,210","6,310","123,722"
2022-04-22,"6,440","6,260","6,420","189,782"
2022-04-25,"6,590","6,420","6,590","223,922"
2022-04-26,"6,730","6,560","6,640","244,670"
2022-04-27,"6,730","6,590","6,640","244,320"
2022-04-28,"6,610","6,300","6,450","470,362"
2022-04-29,"6,570","6,390","6,570","231,636"
2022-05-02,"6,530","6,400","6,470","177,461"
2022-05-03,"6,490","6,170","6,270","402,502"
2022-05-04,"6,300","6,130","6,190","188,434"
2022-05-06,"6,220","6,000","6,220","141,306"
2022-05-09,"6,240","6,120","6,230","94,470"
2022-05-10,"6,240","6,060","6,240","139,483"
2022-05-11,"6,250","6,150","6,200","49,996"
2022-05-12,"6,230","6,060","6,110","134,766"
2022-05-13,"6,190","6,080","6,190","78,759"
2022-05-16,"6,230","6,160","6,220","58,228"
2022-05-17,"6,240","6,150","6,180","138,450"
2022-05-18,"6,200","6,090","6,180","111,715"
2022-05-19,"6,150","6,090","6,150","28,519"
2022-05-20,"6,160","6,090","6,160","65,721"
2022-05-23,"6,180","6,120","6,180","47,139"
2022-05-24,"6,200","6,120","6,190","60,244"
2022-05-25,"6,270","6,150","6,200","161,285"
2022-05-26,"6,270","6,170","6,250","115,620"
2022-05-27,"6,290","6,230","6,260","156,227"
2022-05-30,"6,240","6,160","6,180","93,589"
2022-05-31,"6,180","6,110","6,180","67,645"
