Item Name,수정고가(원),수정저가(원),수정주가(원),거래량(주)
2020-08-31,"4,729","4,571","4,665","2,881,153"
2020-09-01,"4,768","4,665","4,709","526,689"
2020-09-02,"4,749","4,699","4,709","281,988"
2020-09-03,"4,719","4,635","4,640","430,289"
2020-09-04,"4,660","4,581","4,655","303,860"
2020-09-07,"4,650","4,611","4,621","302,528"
2020-09-08,"4,640","4,611","4,626","162,889"
2020-09-09,"4,635","4,611","4,626","131,533"
2020-09-10,"4,635","4,611","4,630","125,254"
2020-09-11,"4,635","4,621","4,630","203,424"
2020-09-14,"4,640","4,621","4,635","126,059"
2020-09-15,"4,640","4,626","4,635","124,607"
2020-09-16,"4,640","4,630","4,640","165,725"
2020-09-17,"4,655","4,630","4,635","185,346"
2020-09-18,"4,655","4,630","4,650","144,638"
2020-09-21,"4,650","4,635","4,640","212,739"
2020-09-22,"4,640","4,630","4,635","99,795"
2020-09-23,"4,650","4,626","4,640","73,163"
2020-09-24,"4,645","4,621","4,640","135,615"
2020-09-25,"4,650","4,630","4,650","126,271"
2020-09-28,"4,660","4,645","4,645","131,907"
2020-09-29,"4,670","4,645","4,665","68,078"
2020-10-05,"4,704","4,665","4,695","183,850"
2020-10-06,"4,714","4,675","4,714","102,085"
2020-10-07,"4,719","4,690","4,714","81,563"
2020-10-08,"4,759","4,709","4,759","186,285"
2020-10-12,"4,773","4,729","4,763","120,341"
2020-10-13,"4,773","4,739","4,773","82,717"
2020-10-14,"4,783","4,759","4,768","173,102"
2020-10-15,"4,788","4,759","4,783","60,807"
2020-10-16,"4,798","4,778","4,788","91,433"
2020-10-19,"4,857","4,783","4,837","209,711"
2020-10-20,"4,857","4,808","4,852","121,980"
2020-10-21,"4,862","4,837","4,847","228,990"
2020-10-22,"4,862","4,837","4,862","296,060"
2020-10-23,"4,877","4,847","4,867","317,295"
2020-10-26,"4,892","4,847","4,862","240,107"
2020-10-27,"4,882","4,857","4,872","156,469"
2020-10-28,"4,877","4,852","4,877","113,143"
2020-10-29,"4,877","4,857","4,867","107,974"
2020-10-30,"4,882","4,852","4,877","90,397"
2020-11-02,"4,887","4,862","4,872","157,788"
2020-11-03,"4,882","4,862","4,867","118,005"
2020-11-04,"4,877","4,857","4,872","100,663"
2020-11-05,"4,877","4,857","4,867","68,687"
2020-11-06,"4,867","4,842","4,857","116,123"
2020-11-09,"4,872","4,847","4,872","59,251"
2020-11-10,"4,872","4,847","4,852","144,093"
2020-11-11,"4,857","4,818","4,828","195,919"
2020-11-12,"4,837","4,813","4,832","131,637"
2020-11-13,"4,832","4,818","4,828","96,969"
2020-11-16,"4,832","4,803","4,813","118,940"
2020-11-17,"4,828","4,808","4,823","71,597"
2020-11-18,"4,837","4,808","4,823","116,187"
2020-11-19,"4,828","4,808","4,818","189,421"
2020-11-20,"4,828","4,803","4,828","71,924"
2020-11-23,"4,837","4,813","4,823","259,184"
2020-11-24,"4,832","4,808","4,828","260,823"
2020-11-25,"4,832","4,808","4,823","331,825"
2020-11-26,"4,828","4,808","4,828","426,465"
2020-11-27,"4,773","4,699","4,759","375,357"
2020-11-30,"4,759","4,714","4,714","100,744"
2020-12-01,"4,739","4,680","4,699","295,871"
2020-12-02,"4,729","4,690","4,724","79,505"
2020-12-03,"4,729","4,680","4,724","67,134"
2020-12-04,"4,729","4,690","4,719","73,480"
2020-12-07,"4,719","4,670","4,704","177,581"
2020-12-08,"4,714","4,680","4,714","60,907"
2020-12-09,"4,719","4,695","4,714","63,205"
2020-12-10,"4,724","4,690","4,714","238,932"
2020-12-11,"4,823","4,685","4,823","667,127"
2020-12-14,"4,828","4,773","4,813","222,633"
2020-12-15,"4,818","4,768","4,798","174,693"
2020-12-16,"4,818","4,783","4,783","42,885"
2020-12-17,"4,803","4,759","4,763","66,596"
2020-12-18,"4,803","4,744","4,754","230,311"
2020-12-21,"4,763","4,739","4,754","184,692"
2020-12-22,"4,759","4,729","4,739","97,417"
2020-12-23,"4,754","4,724","4,724","120,416"
2020-12-24,"4,739","4,719","4,729","228,014"
2020-12-28,"4,749","4,709","4,739","187,228"
2020-12-29,"4,763","4,724","4,739","62,614"
2020-12-30,"4,739","4,709","4,734","123,658"
