,PER,PBR
2018-01-02,13.06,1.12
2018-01-03,13.09,1.12
2018-01-04,12.99,1.11
2018-01-05,13.15,1.12
2018-01-08,13.23,1.13
2018-01-09,13.21,1.13
2018-01-10,13.15,1.12
2018-01-11,13.09,1.12
2018-01-12,13.13,1.12
2018-01-15,13.16,1.12
2018-01-16,13.26,1.13
2018-01-17,13.23,1.13
2018-01-18,13.23,1.13
2018-01-19,13.25,1.13
2018-01-22,13.16,1.12
2018-01-23,13.34,1.14
2018-01-24,13.34,1.14
2018-01-25,13.47,1.15
2018-01-26,13.53,1.16
2018-01-29,13.66,1.17
2018-01-30,13.49,1.15
2018-01-31,13.50,1.15
2018-02-01,13.52,1.15
2018-02-02,13.29,1.14
2018-02-05,13.12,1.12
2018-02-06,12.91,1.10
2018-02-07,12.61,1.08
2018-02-08,12.66,1.08
2018-02-09,12.67,1.08
2018-02-12,12.79,1.09
2018-02-13,12.84,1.10
2018-02-14,12.99,1.11
2018-02-19,13.10,1.12
2018-02-20,12.95,1.11
2018-02-21,13.03,1.11
2018-02-22,12.95,1.11
2018-02-23,13.15,1.12
2018-02-26,13.18,1.13
2018-02-27,13.17,1.13
2018-02-28,13.02,1.11
2018-03-02,12.89,1.10
2018-03-05,12.74,1.09
2018-03-06,12.94,1.11
2018-03-07,12.90,1.10
2018-03-08,13.06,1.12
2018-03-09,13.21,1.13
2018-03-12,13.34,1.14
2018-03-13,13.39,1.15
2018-03-14,13.35,1.14
2018-03-15,13.38,1.14
2018-03-16,13.37,1.15
2018-03-19,13.27,1.14
2018-03-20,13.31,1.14
2018-03-21,13.31,1.14
2018-03-22,13.37,1.15
2018-03-23,12.96,1.11
2018-03-26,13.08,1.12
2018-03-27,13.16,1.13
2018-03-28,12.98,1.11
2018-03-29,13.07,1.12
2018-03-30,13.10,1.12
2018-04-02,13.09,1.12
2018-04-03,13.08,1.12
2018-04-04,12.90,1.11
2018-04-05,13.06,1.12
2018-04-06,13.01,1.12
2018-04-09,13.09,1.12
2018-04-10,13.13,1.12
2018-04-11,13.09,1.12
2018-04-12,13.08,1.12
2018-04-13,13.17,1.13
2018-04-16,13.18,1.13
2018-04-17,13.16,1.13
2018-04-18,13.31,1.14
2018-04-19,13.34,1.14
2018-04-20,13.29,1.14
2018-04-23,13.27,1.14
2018-04-24,13.22,1.13
2018-04-25,13.14,1.13
2018-04-26,13.28,1.14
2018-04-27,13.37,1.15
2018-04-30,13.50,1.16
2018-05-02,12.00,1.14
2018-05-03,11.91,1.14
