,시장금리 국고채(10년),소비자물가지수,경기종합지수
2019-01-02,1.948,99.330,99.43
2019-01-03,1.955,99.330,99.43
2019-01-04,1.972,99.330,99.43
2019-01-07,1.977,99.330,99.43
2019-01-08,1.994,99.330,99.43
2019-01-09,1.985,99.330,99.43
2019-01-10,1.964,99.330,99.43
2019-01-11,1.992,99.330,99.43
2019-01-14,1.973,99.330,99.43
2019-01-15,1.968,99.330,99.43
2019-01-16,1.982,99.330,99.43
2019-01-17,1.976,99.330,99.43
2019-01-18,2.008,99.330,99.43
2019-01-21,2.028,98.988,99.35
2019-01-22,1.997,98.988,99.35
2019-01-23,1.984,98.988,99.35
2019-01-24,1.993,98.988,99.35
2019-01-25,2.005,98.988,99.35
2019-01-28,2.019,98.988,99.35
2019-01-29,2.035,98.988,99.35
2019-01-30,2.051,98.988,99.35
2019-01-31,2.001,98.988,99.35
2019-02-01,1.983,98.988,99.35
2019-02-07,1.995,98.988,99.35
2019-02-08,1.965,98.988,99.35
2019-02-11,1.943,98.988,99.35
2019-02-12,1.978,98.988,99.35
2019-02-13,1.987,98.988,99.35
2019-02-14,1.99,98.988,99.35
2019-02-15,1.962,98.988,99.35
2019-02-18,1.997,98.988,99.35
2019-02-19,1.996,98.988,99.35
2019-02-20,1.992,98.884,99.26
2019-02-21,2.01,98.884,99.26
2019-02-22,2.008,98.884,99.26
2019-02-25,2.012,98.884,99.26
2019-02-26,2.003,98.884,99.26
2019-02-27,1.985,98.884,99.26
2019-02-28,1.987,98.884,99.26
2019-03-04,2.027,98.884,99.26
2019-03-05,2.029,98.884,99.26
2019-03-06,2.021,98.884,99.26
2019-03-07,2.005,98.884,99.26
2019-03-08,1.973,98.884,99.26
2019-03-11,1.986,98.884,99.26
2019-03-12,1.991,98.884,99.26
2019-03-13,1.966,98.884,99.26
2019-03-14,1.978,98.884,99.26
2019-03-15,1.989,98.884,99.26
2019-03-18,1.994,98.884,99.26
2019-03-19,1.979,98.884,99.26
2019-03-20,1.981,99.311,99.17
2019-03-21,1.932,99.311,99.17
2019-03-22,1.934,99.311,99.17
2019-03-25,1.888,99.311,99.17
2019-03-26,1.905,99.311,99.17
2019-03-27,1.845,99.311,99.17
2019-03-28,1.81,99.311,99.17
2019-03-29,1.833,99.311,99.17
2019-04-01,1.866,99.311,99.17
2019-04-02,1.856,99.311,99.17
2019-04-03,1.889,99.311,99.17
2019-04-04,1.877,99.311,99.17
2019-04-05,1.893,99.311,99.17
2019-04-08,1.868,99.311,99.17
2019-04-09,1.872,99.311,99.17
2019-04-10,1.871,99.311,99.17
2019-04-11,1.867,99.311,99.17
2019-04-12,1.881,99.311,99.17
2019-04-15,1.926,99.311,99.17
2019-04-16,1.932,99.311,99.17
2019-04-17,1.947,99.311,99.17
2019-04-18,1.893,99.311,99.17
2019-04-19,1.899,99.311,99.17
2019-04-22,1.929,99.121,99.07
2019-04-23,1.923,99.121,99.07
2019-04-24,1.912,99.121,99.07
2019-04-25,1.879,99.121,99.07
2019-04-26,1.876,99.121,99.07
2019-04-29,1.864,99.121,99.07
2019-04-30,1.845,99.121,99.07
2019-05-02,1.885,99.121,99.07
2019-05-03,1.9,99.121,99.07
2019-05-07,1.885,99.121,99.07
2019-05-08,1.878,99.121,99.07
2019-05-09,1.861,99.121,99.07
2019-05-10,1.873,99.121,99.07
2019-05-13,1.874,99.121,99.07
2019-05-14,1.868,99.121,99.07
2019-05-15,1.865,99.121,99.07
2019-05-16,1.82,99.121,99.07
2019-05-17,1.822,99.121,99.07
2019-05-20,1.847,99.481,98.94
2019-05-21,1.83,99.481,98.94
2019-05-22,1.828,99.481,98.94
2019-05-23,1.808,99.481,98.94
2019-05-24,1.792,99.481,98.94
2019-05-27,1.797,99.481,98.94
2019-05-28,1.793,99.481,98.94
2019-05-29,1.741,99.481,98.94
2019-05-30,1.741,99.481,98.94
2019-05-31,1.682,99.481,98.94
2019-06-03,1.691,99.481,98.94
2019-06-04,1.684,99.481,98.94
2019-06-05,1.654,99.481,98.94
2019-06-07,1.656,99.481,98.94
2019-06-10,1.661,99.481,98.94
2019-06-11,1.68,99.481,98.94
2019-06-12,1.6,99.481,98.94
2019-06-13,1.613,99.481,98.94
2019-06-14,1.591,99.481,98.94
2019-06-17,1.621,99.481,98.94
2019-06-18,1.614,99.481,98.94
2019-06-19,1.601,99.481,98.94
2019-06-20,1.545,99.652,98.83
2019-06-21,1.569,99.652,98.83
2019-06-24,1.563,99.652,98.83
2019-06-25,1.584,99.652,98.83
2019-06-26,1.605,99.652,98.83
2019-06-27,1.616,99.652,98.83
2019-06-28,1.596,99.652,98.83
2019-07-01,1.608,99.652,98.83
2019-07-02,1.586,99.652,98.83
2019-07-03,1.534,99.652,98.83
2019-07-04,1.523,99.652,98.83
2019-07-05,1.533,99.652,98.83
2019-07-08,1.53,99.652,98.83
2019-07-09,1.538,99.652,98.83
2019-07-10,1.562,99.652,98.83
2019-07-11,1.547,99.652,98.83
2019-07-12,1.569,99.652,98.83
2019-07-15,1.582,99.652,98.83
2019-07-16,1.573,99.652,98.83
2019-07-17,1.546,99.652,98.83
2019-07-18,1.472,99.652,98.83
2019-07-19,1.456,99.652,98.83
2019-07-22,1.465,99.491,98.73
2019-07-23,1.472,99.491,98.73
2019-07-24,1.465,99.491,98.73
2019-07-25,1.431,99.491,98.73
2019-07-26,1.426,99.491,98.73
2019-07-29,1.412,99.491,98.73
2019-07-30,1.409,99.491,98.73
2019-07-31,1.39,99.491,98.73
2019-08-01,1.41,99.491,98.73
2019-08-02,1.349,99.491,98.73
2019-08-05,1.253,99.491,98.73
2019-08-06,1.256,99.491,98.73
2019-08-07,1.251,99.491,98.73
2019-08-08,1.27,99.491,98.73
2019-08-09,1.286,99.491,98.73
2019-08-12,1.285,99.491,98.73
2019-08-13,1.229,99.491,98.73
2019-08-14,1.231,99.491,98.73
2019-08-16,1.172,99.491,98.73
2019-08-19,1.184,99.491,98.73
2019-08-20,1.198,99.187,98.66
2019-08-21,1.277,99.187,98.66
2019-08-22,1.229,99.187,98.66
2019-08-23,1.261,99.187,98.66
2019-08-26,1.191,99.187,98.66
2019-08-27,1.238,99.187,98.66
