,리츠 동일가중지수
2019-01-02,100.00
2019-01-03,98.91
2019-01-04,100.28
2019-01-07,101.23
2019-01-08,101.48
2019-01-09,100.60
2019-01-10,100.04
2019-01-11,100.67
2019-01-14,100.37
2019-01-15,100.49
2019-01-16,100.02
2019-01-17,98.94
2019-01-18,99.92
2019-01-21,99.86
2019-01-22,100.83
2019-01-23,101.38
2019-01-24,102.08
2019-01-25,102.01
2019-01-28,101.53
2019-01-29,102.43
2019-01-30,101.82
2019-01-31,100.67
2019-02-01,100.55
2019-02-07,99.74
2019-02-08,99.97
2019-02-11,100.61
2019-02-12,100.53
2019-02-13,101.42
2019-02-14,101.25
2019-02-15,100.60
2019-02-18,100.78
2019-02-19,100.97
2019-02-20,100.95
2019-02-21,100.75
2019-02-22,100.38
2019-02-25,100.15
2019-02-26,100.07
2019-02-27,100.15
2019-02-28,99.49
2019-03-04,100.87
2019-03-05,100.65
2019-03-06,100.39
2019-03-07,100.03
2019-03-08,99.67
2019-03-11,99.68
2019-03-12,100.40
2019-03-13,99.01
2019-03-14,98.17
2019-03-15,98.07
2019-03-18,99.33
2019-03-19,99.86
2019-03-20,101.24
2019-03-21,100.31
2019-03-22,101.23
2019-03-25,100.05
2019-03-26,100.57
2019-03-27,100.23
2019-03-28,100.36
2019-03-29,99.87
2019-04-01,100.42
2019-04-02,100.78
2019-04-03,100.33
2019-04-04,100.16
2019-04-05,100.11
2019-04-08,100.93
2019-04-09,100.60
2019-04-10,101.52
2019-04-11,101.70
2019-04-12,101.81
2019-04-15,101.30
2019-04-16,101.42
2019-04-17,101.58
2019-04-18,101.56
2019-04-19,101.26
2019-04-22,101.25
2019-04-23,101.63
2019-04-24,101.33
2019-04-25,101.50
2019-04-26,102.00
2019-04-29,102.59
2019-04-30,102.56
2019-05-02,103.21
2019-05-03,103.19
2019-05-07,103.06
2019-05-08,103.47
2019-05-09,103.03
2019-05-10,103.23
2019-05-13,103.76
2019-05-14,104.50
2019-05-15,104.85
2019-05-16,104.05
2019-05-17,104.35
2019-05-20,104.29
2019-05-21,104.25
2019-05-22,104.13
2019-05-23,103.90
2019-05-24,103.44
2019-05-27,103.49
2019-05-28,103.39
2019-05-29,103.39
2019-05-30,103.44
2019-05-31,103.88
2019-06-03,104.32
2019-06-04,103.95
2019-06-05,104.01
2019-06-07,104.16
2019-06-10,104.84
2019-06-11,104.93
2019-06-12,106.21
2019-06-13,106.38
2019-06-14,106.58
2019-06-17,106.89
2019-06-18,107.65
2019-06-19,108.38
2019-06-20,108.43
2019-06-21,108.04
2019-06-24,108.03
2019-06-25,107.91
2019-06-26,107.51
2019-06-27,107.55
2019-06-28,107.79
2019-07-01,108.09
2019-07-02,109.66
2019-07-03,109.71
2019-07-04,110.24
2019-07-05,110.76
2019-07-08,110.68
2019-07-09,110.72
2019-07-10,110.85
2019-07-11,111.05
2019-07-12,110.00
2019-07-15,107.87
2019-07-16,109.34
2019-07-17,108.60
2019-07-18,108.57
2019-07-19,109.07
2019-07-22,109.24
2019-07-23,109.71
2019-07-24,109.21
2019-07-25,108.78
2019-07-26,108.65
2019-07-29,107.31
2019-07-30,107.35
2019-07-31,107.92
2019-08-01,107.31
2019-08-02,106.82
2019-08-05,104.13
2019-08-06,102.82
2019-08-07,103.42
2019-08-08,104.06
2019-08-09,105.60
2019-08-12,105.05
2019-08-13,105.37
2019-08-14,106.30
2019-08-16,106.03
2019-08-19,107.58
2019-08-20,108.54
2019-08-21,108.79
2019-08-22,108.93
2019-08-23,110.53
2019-08-26,109.28
2019-08-27,109.92
2019-08-28,110.31
2019-08-29,109.66
2019-08-30,110.09
2019-09-02,110.77
2019-09-03,112.64
2019-09-04,112.90
2019-09-05,113.35
2019-09-06,113.10
2019-09-09,113.87
2019-09-10,111.98
2019-09-11,112.42
2019-09-16,113.31
2019-09-17,112.83
2019-09-18,112.53
2019-09-19,112.63
2019-09-20,113.40
2019-09-23,113.57
2019-09-24,113.53
2019-09-25,113.16
2019-09-26,113.95
2019-09-27,114.12
2019-09-30,114.22
2019-10-01,114.26
2019-10-02,114.58
2019-10-04,114.52
2019-10-07,115.03
2019-10-08,114.95
2019-10-10,115.46
2019-10-11,114.96
2019-10-14,115.21
2019-10-15,116.32
2019-10-16,116.83
2019-10-17,117.90
2019-10-18,118.91
2019-10-21,119.51
2019-10-22,118.94
2019-10-23,119.83
2019-10-24,118.90
2019-10-25,118.89
2019-10-28,118.37
2019-10-29,118.76
2019-10-30,119.28
2019-10-31,119.32
2019-11-01,118.93
2019-11-04,120.14
2019-11-05,122.25
2019-11-06,123.28
2019-11-07,124.44
2019-11-08,123.10
2019-11-11,122.52
2019-11-12,122.73
2019-11-13,122.39
2019-11-14,122.26
2019-11-15,122.51
2019-11-18,120.77
2019-11-19,122.18
2019-11-20,122.01
2019-11-21,121.11
2019-11-22,121.83
2019-11-25,122.46
2019-11-26,121.36
2019-11-27,121.50
2019-11-28,120.97
2019-11-29,121.40
2019-12-02,119.94
2019-12-03,118.45
2019-12-04,119.83
2019-12-05,119.80
2019-12-06,118.95
2019-12-09,117.28
2019-12-10,116.77
2019-12-11,115.73
2019-12-12,115.74
2019-12-13,117.10
2019-12-16,118.85
